BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
50.4,11.8,-0.2,2850,-23.6,168.7
37.7,15.8,21.1,4540,39,104.7
29.2,18.7,-3.5,3670,-11,79
57.4,11.5,1.5,4842,31.4,176.5
58.8,11.8,8.6,2930,1.1,210.9
60.6,18.7,0.7,2900,-11.2,212.1
50.4,16.2,-0.1,4435,-21.3,160.9
33.9,10.6,-2.4,2740,-26.9,89.7
64.6,8.8,-7.5,2160,-25.2,227
53.2,10.5,-5.1,3840,-3.1,177.2
54.8,15.6,-1.1,4437,-12.8,178.2
39.6,31.3,-1.4,6709,1.2,105.2
57.6,11.5,4.8,4040,13.1,192.8
57,20.9,2.3,5110,14.5,167.9
59.2,5.7,-1.7,2190,-46.5,168.6
74.2,13.9,-1.5,3240,-4.2,265
63.8,6,0.6,1750,-1.5,215.9
55.6,17.1,-3,3760,6.3,189.1
51.1,18.3,1.5,2459,12.1,182.6
64.2,12.7,-0.9,3570,-9.1,224.4
70.9,14.1,2.8,3080,4.3,257.2
74.6,12,-0.5,2790,6.6,267.4
30.4,19.3,0,10470,20.8,80
57.3,16.9,-3,2960,-8.6,202.4
52.5,11,-2.9,2720,-14.3,180.8
42.8,16.1,3.1,3542,25.2,129.9
57.1,1.5,4.4,4447,27.7,151.1
53.4,18.3,4.3,4480,18.5,171.2
56.2,10.7,3.6,2242,-1.8,200.5
68.1,9.9,2.7,2330,-33.2,233.9
73.9,10.1,-2.2,3540,-1.1,255.1
71.4,12.3,0.9,2648,1.4,263.1
62.1,14.6,-6.1,2806,11.8,226.4
59.8,5.2,3.9,2110,64.8,146.7
57.8,8.8,-8.2,2500,-49.2,176.2
54.7,19.8,0.8,2523,-2,199.5
57.6,18.1,0.1,7514,14.6,163.8
64.8,15.8,0.6,4020,-13.5,211.7
63.2,10.2,-3.9,4459,16.6,217.4
70.8,14.8,-0.3,2402,-0.6,265.5
65.2,13.1,9.1,2510,-9,237
58.9,11.3,0.4,2455,4.7,214
54.9,9.9,-6.4,2300,-24.8,183
62.3,13.6,-2,5620,-1.7,190.6
67.2,12.4,-0.4,2090,-4.9,254.5
71.7,11.2,0.1,3270,13.3,255.1
57.8,18.4,12.7,4540,7.8,185.6
51.9,11.6,-0.3,5288,27.3,155.2
67.2,15.1,0,3472,-6.1,229.7
69.2,16.1,-2.6,4265,-11,225.1
60.9,14.1,2.8,4321,12.4,195.7
50.7,7.4,-5.6,3020,-29.4,155.6
58.1,12.1,-7.1,3440,-7.9,202.3
38.6,19.4,4.7,4980,0.3,112.8
54,10.6,-0.4,5261,12,168.8
67,10.6,-1,4290,1.4,223.6
55.4,14.7,2.2,2640,-3.1,200.9
61.8,14,-0.2,4491,12.8,201.7
40.1,35,-11.2,7840,-10.9,99.9
54.5,13.3,1.4,3986,1.9,182.5
55.6,2.6,-10.6,2490,-13.3,154
56.7,9.5,-6.6,2120,-6.7,199.1
61.8,17.2,-7.1,4480,-4.7,198
72,13.6,-0.2,2360,-9.9,265.4
17.8,24.8,6.1,4260,6.7,35.7
66.3,8.2,-3.8,1390,-23.1,228
74.5,13.9,-0.1,3790,-12.9,247.9
54,15.8,2.1,2223,-0.5,196.9
58.4,16.7,-0.8,3615,16.4,200.5
55.4,11.4,-7.3,4240,-13.9,182
60.5,8.5,-3.5,2010,-12.1,209.1
60,6.9,-7.1,4697,13.4,184.3
57.8,10,-3.3,3120,-15.2,200.4
50.3,7.5,-1,3871,2.3,160.4
76.3,10.2,0.6,4260,-12.1,247.9
32.1,24.3,-1.2,4870,2.2,89.2
38.8,31.7,0.5,4139,-10.4,108.3
72,15.3,-1.6,3750,-11.9,239.7
72.2,17.6,3.2,3574,-4.6,242.8
56.6,5,-1,2240,14.3,171.9
36,14.9,18.1,7281,30.6,90.5
47.8,20.3,-0.9,6380,-0.5,139.2
73.6,10.7,3.4,4102,0.9,259.5
