BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
52.5,5.5,-0.8,2610,-13.5,160.5
73.8,10.7,-1.7,3020,-1.6,267.7
59.9,15,1.1,3235,-5.1,210
69.7,13.8,4.3,3916,1.9,236
66.3,13.7,3.1,1688,9.6,244.4
72.3,14.2,-2.2,2480,-14,263.7
71.9,7.4,-0.7,1940,8.9,260.8
76.8,13.6,-2.7,3420,-3.2,263.1
61.1,14.2,-3.2,4326,-2.9,200.7
12.3,29.8,-0.4,3471,1.2,19.2
70.1,14.6,2.4,5936,14,207.2
67.7,6.6,-0.8,1720,-9.4,238.1
72.6,12.8,2,2310,-4.1,276.1
59.9,12.9,2.7,3210,3.3,211.9
73.4,13.1,-2.2,2710,-12.7,270.7
62.1,10.3,-6.4,2947,-31.2,210.2
67.8,12.1,3.7,2960,7.5,248.3
63.1,10.2,0.1,2470,-26.2,223
62.7,13.1,4.2,4300,-3.2,205.1
66.8,13.9,2.5,2715,-33.6,228.3
43.6,20.4,1.8,3810,-3.5,140
53.3,19.7,0.2,7340,-0.6,151.1
63.6,18.9,0.7,3680,0.2,214.7
69.9,19.3,2.9,3750,3,231.2
30.4,16.3,4.5,3238,4.5,84.3
9.6,54.7,-8.2,1940,0.2,10.7
50.3,5.1,-4.5,2580,-21.6,145.2
72.7,10.7,-1.1,3277,-3,261.2
55.5,15.3,0.9,2249,12.1,201.9
23.6,12.8,-0.2,2580,-6.4,53.9
60.6,13.4,1.2,2850,3.6,219.5
36.4,18,-6.2,5526,9,103.1
73.8,14.9,-0.3,2220,6.5,279.3
71.2,16.1,-0.4,2421,-9.8,261
62.4,12.7,-1.4,3310,-2.8,222.5
58.5,5.2,-7.1,4845,11.8,179.7
64.5,10.3,1.9,2470,-19.5,299.7
60.5,13.2,4.1,3090,-2.2,217.4
60.5,15.3,5,3340,-4.7,213.9
55.4,14.3,-11.1,3830,-12.4,184.1
44.1,26.3,3.6,7755,2,118.3
64.1,6,-9,3709,-14.5,214.3
66.1,7.7,-0.3,2020,-41.4,210.3
65.3,8.4,1.9,2050,-14.5,230
64.9,10.7,2.4,2300,-15.9,238.8
63.7,12.1,12.6,2540,15.8,233.8
61.7,4,-1.4,1530,-7.6,183.6
51.5,13.8,-2.6,3435,-10.9,173.8
55.6,5.9,-5.8,560,-17.9,152.5
72.3,11.5,4.3,3326,-7,257.5
31.1,35.6,-11.5,6080,-10.4,77.4
57.7,6.6,-7.2,2220,-8.3,192.8
57.9,7.1,-3.3,2050,-11.7,191.2
54.9,11,-7.1,4312,-24.5,168.3
66.6,17.8,3.3,2890,-1.8,236.1
68.4,13.2,5,3947,7.4,226.8
65.3,14.6,4.3,2840,-10.9,240.4
53.8,4.6,3.1,1720,-18.4,150.8
62.2,16.9,11.4,3150,15.9,221.8
56,1.7,-8.7,2320,1,137.4
58.8,15.2,2.5,4220,15.6,188
65.9,14.1,8.2,2424,-13.5,247.6
55.1,12.6,-0.3,3710,-5.7,187.6
44.3,26,1.9,6040,-5,126.8
56.4,11.4,3.6,3070,15.5,189.9
39.4,23.5,0.8,4610,-0.3,118
72,13.4,0.6,2504,-13.9,262.1
76.3,10.6,4.2,2752,4.5,275.1
42.9,23.8,4.1,5200,1.4,126.9
65.5,6,-4.4,2287,-14.3,208.2
59.2,14.1,2.1,2702,3.8,216.7
73.9,14.6,-0.3,2530,-10.8,273.7
51,12.7,0,3013,-7.5,165.4
67.7,8.8,-2.8,1680,-23,242.9
54.6,10.6,-3.3,4020,-32.1,172.8
55.8,11.8,10.5,4039,31,177.6
62.3,9.8,4.8,4473,-5.4,204.8
60.7,14.8,-3.9,5700,-2,184.6
71.6,14.3,0.6,2964,2.8,255.1
52.3,24.6,2.4,7980,6.6,141.8
51.4,20.8,0.1,4620,6,162.3
36.3,30.4,6.2,3425,5.1,107.9
13.3,28.2,-4.4,2930,-3.8,23
60.6,17.3,5.7,2340,-9,228.3
71.2,17,0.8,3790,10.5,238.9
64.1,14.1,-0.9,2695,-3.3,236.8
43.9,25.2,2.5,6250,-7.7,125.6
61.5,7.6,-0.4,2970,20.5,200.3
66.3,13.6,0.1,3907,-4.5,220.5
76.8,16.3,-1.6,3720,-0.8,251.6
50.8,11.1,4.7,2386,9.2,164.1
66.9,8.5,-0.1,1990,-19.5,237.4
66.7,14,2.7,2663,11.7,246.8
56.3,21.2,-0.8,4500,-9.9,178.3
62.3,13.9,-2.3,5210,0.1,194.4
74.2,10.6,6.2,2402,3.5,271.2
68.5,13.9,4.9,1450,-7.2,255.9
32.1,24.4,2.4,5125,11.1,87.1
40.1,15.5,6.2,6745,14.8,112.2
51.4,10.2,-6.1,3663,17.6,161.9
49,20.7,2.7,7847,0.9,135.9
49.5,7.8,-2.2,2620,-1.4,156.5
64.3,8.3,-0.9,1660,-27.5,217.1
31.2,30,-5.1,5090,1.1,83.5
71.1,8,-1.1,3722,-4.6,247
34.6,17,-4.3,1797,-21,107.1
59.8,13.2,-8.7,4240,-25.7,196
59.4,12.4,-3.4,6156,9.3,180.4
70.2,13.1,-2,2688,-7.4,259.9
52.4,9,-3.5,2890,-5.1,177
44,13.5,-1.5,2980,10.9,142
66.1,14,4.9,3843,11.2,220
64.8,14.1,5,2820,-8.2,231.3
58,9.1,5.1,3190,21.4,195.1
38.8,8.1,10.6,3410,53,95.5
45.3,28.2,-1.6,6520,4.8,123.3
56.8,17.1,11.7,3780,25.1,189.1
67.5,12.1,2.8,4009,-3.2,223.5
37.7,24,3.7,5120,-2.3,109.7
63.9,13.7,3.7,2229,-13.7,240.7
54.2,14.7,-0.2,4047,-9.5,179.5
33,23.5,-0.2,6040,0.3,87.5
69.4,10.8,-2.6,2476,-10.6,249.4
51.9,22.1,1.4,7683,-1,143.6
60.6,15.3,9.3,3470,10.1,212
49.8,11.1,1.1,2160,1.2,169.1
78.1,11.6,4.4,1770,-8.8,302.1
43.7,39.5,-1.9,8500,-7.8,98.8
51.9,22.2,6.1,5800,6.2,153.9
48.3,25.7,2.7,6790,1.7,135.4
77.2,16,4.2,3630,-3.9,258.1
57.7,14.3,-1.4,3550,7.8,199.9
56,13.4,4.2,5183,16.5,175.1
46.1,20.4,5,4320,-2.9,146.1
66.7,16.1,2.2,3057,0.7,240.4
56.3,18.1,-1.5,4030,13.6,186.9
60.3,17,4.2,4000,10.3,196.5
57,9.2,2.8,6392,3.4,172.5
44.5,25.1,3.8,6010,1,128.6
63,12.7,-2,1830,-15.1,234.9
71.9,12.7,0.9,2130,-7.4,274.5
32.1,27,4.2,3900,3.5,91.6
64.8,17.6,0.1,3220,-0.4,223.9
73.6,7.8,1.5,3091,9.7,256
59.9,20.2,0.9,4240,10.5,191.7
59.4,9,-3.5,4536,8.2,191.8
60.8,14.5,3.4,3600,9,211.1
65.7,12.6,0.6,2480,-9.4,246.4
69.1,15.2,-3.4,5039,-4.9,214.4
55,15.8,0.6,3180,-2.2,186.4
71.9,11,3,2187,5.4,272.2
65.3,17.1,3.3,4500,3.3,205.6
62.5,13.5,1.3,3536,-13.3,218.2
53.9,6.1,-5.4,1970,-23.9,163
38.7,22.1,8.4,5220,13.2,112.9
65.8,2,-0.1,1300,-21.8,159.7
52.3,5.1,3,2240,8.4,156.8
61.8,8.9,5.4,6763,17.7,182.5
58.9,14,-1.8,2955,-3.1,204.1
50,19.8,3.8,4130,-1.5,162.7
66.9,12.6,0.3,1992,-0.4,256.4
24.6,15.1,-28.5,6360,-32.7,51
54.8,16,4.3,4360,18.9,177
68.7,13.3,1,2640,-5,257.1
70.6,9.5,0.3,2830,-6.8,256.9
23.1,19.6,-11.3,9936,-25.9,43.5
30,23.1,-0.4,6160,2,76.2
65.9,14.4,1.7,3420,-1.7,226.5
73.8,18.6,0,3990,-8.6,235.2
67.9,11.6,2.2,2250,-4.4,257.3
61.1,1.1,-5.7,1820,-68.1,91.1
60.7,11.8,-3.7,4450,11.1,196.6
59.2,18.6,3.3,3960,-0.4,197.3
57.3,7,0.8,2530,0.7,195.2
46.7,36.4,-3.6,9220,-6.6,107.9
71.2,14.9,-0.1,2247,6,269.1
63.5,12.7,-2.7,5060,-2.2,200.6
59.9,7,0.9,1785,-16.4,195.3
48,22.9,4.9,4243,10.5,152.1
51.9,19.8,11.4,3290,14,178.5
70.8,11.2,3,1637,0.9,270.8
65.4,12.7,6.7,2600,1.4,244.6
63.7,7.3,-3.4,2000,-13.2,222.4
63.1,12.9,6.5,2680,7.7,233.4
60.5,16.1,8.6,1429,7.7,234.3
66.9,9.6,-2.5,1830,-24.6,241.3
43.5,7.5,0.5,2320,-9.3,126.6
25,9,1.6,6158,10.8,46.7
68.5,14.6,-1.7,2430,-9.5,251.5
65.7,13.7,-1.4,2720,11.1,242
51.4,10.6,-4.7,2620,-12.8,175.5
66.5,14,2.6,2716,-18.1,245.1
65.6,7.7,1.9,1830,-17.4,231.1
55.4,22.4,12,5094,22.1,167.2
48.6,10.4,-3.8,3737,-15.7,156.3
37.3,24.9,1.4,6960,-5.3,102.1
67,15.3,3.2,3150,6.6,241.6
59.8,9.5,-1.6,2390,2.6,210.9
74.7,17.6,2.4,3820,-7.3,243.7
56.9,15.9,8,4310,10.6,187.4
53.4,7.7,1.5,2210,-4.8,174.5
63.8,7.5,-4.4,2353,-8.5,223.7
64.2,11.6,3.4,2641,6.2,227.4
54.7,10.5,2.3,3490,12.4,185.5
47,14.6,2.1,2730,0.1,159.2
42.6,15.6,0.8,6020,12.5,123.7
68.7,10.4,6.6,2230,-5.2,251.4
42.1,23.9,2.9,7438,-1,117.2
73.4,14.6,-1.7,2617,5.3,270.6
57.4,13.6,-0.7,3420,-11.4,196.6
58.9,13.6,4.6,3150,1.3,210
64.6,11.6,-0.3,2360,-12.6,240.2
69.2,10.9,-0.1,3930,-0.1,235
48.5,18.7,-0.2,6332,3.8,142.6
76,10.4,-0.2,2481,-2.5,284.6
60.8,8.6,-1.2,3520,17.1,198.4
69.4,16.6,-1.4,4245,-6.1,225.2
67.2,10.3,-1.1,1450,-50.4,209.8
63.6,15,-0.2,3240,-14.2,226.8
76.4,13.4,3.6,2390,-7.6,289.5
61.6,14.2,6.5,3700,4.5,213.5
75.1,18.5,3,3406,-7.9,253.3
63.9,13.7,1.7,2411,-9.9,239.7
58.7,7.6,6.1,3078,10.6,197
40.6,20.4,-6,5988,1.9,117
52.5,5.7,-9.9,2940,-35.2,152.5
14.3,28.1,-0.8,4115,-0.7,24.4
64.1,13.1,6.1,4210,30.2,208.8
57.1,17,4.9,2860,-8.2,206.9
44.7,16.8,-3,3696,18.6,138.4
62.7,13.6,1.2,2620,-16.5,231
63,13,4.6,2810,-6.4,231.3
57.9,13.6,0.3,2090,-26.4,208.7
64.7,13.2,1.7,4320,5.4,210.7
63.5,13.1,-5.6,2400,-15.8,226.3
38.7,16.2,-6.6,3310,-1.3,121.5
71.9,16.4,2.4,2600,4.8,259.4
62.6,11.8,-0.4,3950,2.1,209.6
70,12.7,-2.2,2170,-0.8,266.7
67.6,13.2,7,2960,1.1,239.4
64.3,10,1.8,1980,-16.6,234.9
71.3,6.8,-2.9,2956,-4.8,254.9
61.2,13.3,4,4400,4.7,198.9
43.7,34.8,-2,8500,-2.5,106.5
52,2.4,-10.5,2103,-5.8,129.9
66.7,13.8,0,2430,-1.8,250.9
71.1,0.1,-6.4,3400,-69.6,68.4
57.9,8.5,9.8,2615,-38,182.6
57.4,18.4,3.4,5092,8.4,175.6
61.8,17.1,-0.5,6234,4.7,182
65.1,11.1,2.9,2160,-27,235.1
65.7,8.8,1.2,4148,16,226.4
71.9,13.6,-0.9,2651,-6.7,265
54.1,8.7,1.5,2571,-0.2,184.8
15.7,30.6,0.5,1631,0.5,33.4
54.7,19.4,-6.5,3940,-2.3,176.3
64.8,10.3,-0.4,1980,-1.8,241
72.3,10,-1,2280,-14.3,268.9
71.9,15.4,-2.4,2791,2,263.5
64.8,13.9,4,2770,-15,238.4
54.5,11.3,7.1,1291,10,191.6
59.1,14.9,5.3,3440,10,207
72,14,-4.2,3145,-2.9,258.9
45.6,24.7,0.7,7119,-7.1,127.7
67.2,12.2,3.4,2370,6.3,254
62,10,2.3,1814,7.2,225.6
65.8,10.8,4.2,2060,-5.4,246.6
68.5,13,4.4,3130,7.4,240.5
66,9.9,-1.3,1740,-21,240.8
75.4,11.5,-4.6,2530,-25.9,272.6
66.4,6.3,-2.9,1520,-19.3,223.8
53.7,17.5,3.2,3870,17.3,178.9
43.1,5.1,1.7,2020,3.9,111.2
54,22.7,-3.9,5940,-4.3,151.4
46.9,21.2,-3.9,6314,7.6,132.9
76.5,11.6,-0.5,3570,-7.9,261.1
54,5.9,-7.2,3010,-20,170.8
62.6,15.3,2.8,3400,1.7,220
29.2,40.2,-1.8,8010,-3.7,64.4
69.9,20.4,1.9,4020,-6.4,221.1
55.7,16.1,-2.3,3320,6.3,194.7
63.9,17.2,2.9,3008,-6,231.7
56.4,25.5,-0.7,7040,4.9,145.5
48.6,13.8,-2.2,3514,-4.6,159.2
51.6,9.1,-4.8,2550,-22.3,168.9
55,13.9,-4.8,3660,-15,186.7
33.7,13.7,3.4,1980,-4.1,99.2
73.8,11.2,-0.1,2780,-23.2,264.3
73.6,17.7,2.9,2364,-6.1,269.3
65.7,16,0.1,2870,2.6,239.4
68.9,4.9,-1.3,1590,-8.6,231.4
64.3,10.7,-1,2600,-24.3,230.3
44.7,24.1,1.1,8632,-0.7,119.7
72.7,16,3.4,2870,9.2,265.4
64.6,15.2,7.5,5344,18.6,196.2
57,19.2,-9.4,4250,-6.5,182.4
39.5,8.5,12.7,7401,64.5,84.3
66.1,12.1,2.3,2410,-2.8,249
32.1,20.9,-1.7,4150,-2,91.2
65.9,11,0,1720,-1.2,246.9
51.5,15.5,-3,5650,-4.8,156.9
41.7,26,0.8,6130,-4.3,118.6
61.8,8.9,4.3,3154,10.5,215.2
56.2,10.8,3.6,1929,12.4,195.9
65.1,16.3,4,3560,1.8,226.4
60.9,13.3,-2.6,2484,-13.9,224
56.7,4.7,-1.6,1640,-12.4,166.5
55.7,20.5,1.6,6504,0.8,159.8
51.1,9.9,-2.5,3080,15.3,168.1
61.1,1.5,-2.4,1410,-61.6,101.3
54.8,12.8,10.6,2739,7.1,195.2
44.6,23.9,0.9,5590,-5.7,131.4
74.9,21.8,4.1,4740,0.4,212.6
67.2,14.1,4.2,3810,5.7,224.5
55.8,18.9,3,4947,16.7,172.2
69,11.4,-0.8,1980,-8.7,260.5
46.5,14.4,-2,3276,7.5,149.8
66,9.6,0.5,1730,-7.1,243.7
60.2,16.1,1.7,3830,17.4,203.9
70.7,14.9,1.2,2238,-1.1,267.8
56.1,4.2,6,2858,11.8,168.7
56.2,20.1,-2.5,2020,3.5,212.2
77.5,13.6,1.6,2940,-10.1,280.1
65.4,11.6,1,3130,-13.1,226.2
57.4,12.2,-1,3940,-3.9,199.5
42.4,19.7,2,4620,13.4,126.6
66.2,15,2.1,2580,1.4,247.2
64.8,14.6,4.2,2798,-6,239.4
62,11.4,-1,4823,24,206.5
61.9,13.6,4.3,3080,-5.1,223.3
64.5,13.3,-0.4,2830,-24.2,230.9
57,14.8,-0.9,5360,1.2,175.4
56.6,4.7,4.9,3271,18.3,173.6
49.1,24.7,2.5,4522,-3.7,151.8
56.8,14.2,-4.1,3350,-28.7,187.4
56.3,13.5,-3.3,3010,9.6,200.2
64.9,12,4.1,2620,-0.8,241.7
67.2,12.2,1.7,2540,-15.3,249.6
53.1,14,3,3330,6.7,183.4
48.2,19.4,3.6,5283,-0.2,147.2
52.2,19.2,6.5,4380,14.9,168.3
55.7,2.9,-4.5,1890,-21.3,140.9
53.8,5.4,8,1530,65,129.7
11.7,35.5,-4.1,3030,-4,17.9
51,13.3,-2.5,3591,14.4,168.9
63.2,16.5,7.2,4850,10.1,196.5
60.6,9.3,-2.3,2715,8.8,208.4
46,15.6,4.1,1730,15.9,149
67.5,11.3,0.6,2607,11.2,248.7
65.9,12,7.5,2090,-38.3,233.2
46.6,8,-1.7,2450,-37.7,133
62.9,14,-11.4,5342,-17.8,195.4
64.3,11.1,-3.3,2700,9.5,233.9
65.2,10.9,2.9,2700,-3,239.8
60.3,18.9,0.6,3431,-12.3,202.8
72.4,13.8,5.7,3350,3.7,250.6
65.6,15.2,2.5,3281,8.7,226.8
61.4,17.7,-0.7,4340,-6.6,199.9
49.5,29.9,1.2,7369,8.1,129.6
12.2,36.3,-3.8,3140,-4.1,19.1
29.8,23.7,15.8,7482,23.4,73.5
68.6,13.8,1.9,3128,-4.8,241.1
58.7,12.6,9.9,6597,33.8,150.1
71.1,11.8,-3.6,2560,-2.8,263.6
50.1,10.8,-7,5575,20.3,151
59.9,7.4,6.1,2300,1.2,207.9
71.6,14.8,-1.7,2050,-15.3,274
41.2,22,1.5,5030,8.7,123.3
44.7,5.5,-1.6,2180,-17.8,119.9
30.1,20.6,-0.8,3530,-0.3,84.6
69.1,5.7,3,1320,-28.8,224.3
62.7,20,4.6,5980,2.1,179.7
65.4,7,1.7,2839,18.8,217.5
54.7,20.9,2.4,6654,2.5,156.2
40.7,19.7,13.1,4060,19.4,125.5
52,6.7,-4.3,2863,9.4,159.1
72.1,13,-0.3,1496,-13.9,279.6
62.5,11.4,5.4,2470,0.9,230.9
57.7,8.5,-10.7,2870,-23.8,194.5
55.7,21.2,-4.2,5457,1.5,160.8
57.5,10.8,-1.3,4050,-3.6,191.8
39.2,18.8,-6,3765,1.7,121.4
70.4,17.4,4.8,3590,-6.8,235.4
26.1,18.1,0.2,3060,-9.9,66.8
65,7.7,-2.8,3363,-4.6,226.5
66.7,17.7,3.6,3560,-4.9,229.5
65.9,9.8,0.3,2120,-31.5,232.4
56.9,9.2,-9.4,2970,-21.7,193.2
76,11.6,0.3,3290,-8.6,265.6
59.3,5.6,-5.8,1480,-13.7,179.9
61,14.8,0.7,2970,5.4,213.7
68.9,10.3,-4.8,4722,3.3,223.5
56.6,12.9,-3,3520,-10.3,195.2
74.5,14.2,0.6,3300,3.5,258.6
58.1,12.8,-1.7,4980,-3.1,183.2
60,18.1,9.8,4330,10.9,195.4
60.1,13.7,-5.5,3998,-5.4,202.8
62.5,10,1.2,1880,-15.4,226.2
61.6,5.7,-1.5,2650,-25,198.9
65.8,13.6,4.8,3726,-1.2,227.8
58.8,14.4,3.8,2420,5.4,216.4
67.3,11.1,-0.3,2280,-15,251.2
62.6,11.7,6.1,3157,2.1,224.3
71,9.7,-2.7,2060,-2.6,268.4
65,15.6,4.5,3370,-2.9,221.3
63.9,5.7,-2.3,1290,-21.3,198.6
51.3,2.9,-4.6,2330,-4.4,133.1
73.9,13.4,2.8,2760,-14.3,272.6
62.8,4.2,3.2,1340,-17.4,185.1
72.8,10.7,-0.6,2410,2,271.4
61.3,6.8,2.3,3147,-5.4,206.8
70.8,14,-2.8,3210,-14.3,251
64.2,3.9,-2.5,1610,-42.5,171.1
52.3,8.2,-8,2897,-21.8,168.9
70.1,10.1,-0.3,2000,-16.6,259.7
59.3,14.4,-0.1,5450,0.2,181.9
38.4,18.5,0.2,3880,-1.5,117.9
71.8,8.3,1,1960,-26,252.2
56.6,14.4,5.1,5022,6.4,180.1
71.1,11.4,0.5,2643,-5,264.4
63,6.7,-3,1250,-48.1,186.5
45.6,15.8,-0.9,3370,-2.7,151.4
49.4,11.3,5.2,1062,38.3,143.7
57.1,11.7,1.6,4120,8.5,189.4
43.1,29.2,-12.5,8570,-14.6,113
43.4,35.4,-10.6,5062,-14,114
53,18.5,-0.1,2820,8.4,189.9
50.8,5.6,-4.9,2680,-72,118.4
59.1,12.8,0.8,5815,10.2,170.5
59.2,13.5,-2.7,3580,2,201.9
64.4,11.8,0.6,2420,-39.6,216.1
59.2,19.1,2.7,3910,8,195.6
44.8,17.4,-1,3420,-0.8,148.4
64.7,15.8,3.5,3420,-6.9,227.7
58.6,14.5,-0.7,3190,10.8,207.7
71.1,11.6,-0.1,2775,8.2,263.5
63.2,10.1,-2.5,1930,-34.8,218.4
46.3,17.5,2.5,7760,15.4,101.2
55.3,17.4,4.8,4070,10.5,183.6
24.2,29.4,-0.2,8287,38.4,48.9
64.4,14,2,3020,-9.7,233.9
59.5,14.8,0.3,5941,11.4,167.9
49.1,23.7,5.7,4810,-2.2,150.6
58.9,17,0.4,4260,-5.5,192.2
51.5,8.2,-0.3,2840,-4.1,168.1
62.5,9.9,-0.6,1950,-20.7,223.5
57.6,10.6,-3.9,3290,-14.8,199
56.3,23.8,-1.2,6150,5.9,160.2
65.2,14.4,2.4,2619,1.3,243.8
62.1,11.1,2,2220,-15.9,226.9
40.8,14.4,0.3,3300,4.5,129.4
50.6,10.5,5.5,4650,5.1,160.3
36.2,20.2,2.5,3870,13,108.7
64,17.6,2.9,2750,4.9,231.7
75.7,18.8,2.6,3620,-2.8,247.9
44.8,27.1,-10.7,6035,-15.7,127.3
55.3,14.6,8.8,4890,16.4,170
38.2,7.5,3.9,6862,44.8,85.9
64.4,13.5,0.3,2900,-8,235.7
74.4,18.5,1.8,3670,-7.1,244.6
59.8,11.2,2.2,3970,-5.2,199.5
67.5,11.9,2.6,2530,11.3,250.5
60.7,10,0.5,2063,-11.6,218.9
26.7,2.2,13.9,4764,64.1,34.6
53.4,14.2,-0.8,1660,-8.3,192.3
64.8,8.2,-3.2,1847,-24.5,225.6
70.1,11.8,-0.3,2810,1.8,259.8
62.1,15,-0.5,3140,-11.3,222.7
65.9,21,-2.3,4230,-5.2,206.1
39.6,11.7,-1.4,2420,19.1,120.8
23.4,19,-2,9451,12.3,56.9
65.2,12.1,2.2,1625,-3.5,248.8
67.3,12.9,4.7,3350,-2,238.7
71,8.7,-1.4,2610,-14.1,258
66.1,13.6,2.6,2804,-1.3,244.9
57.2,22.5,-3.3,4400,6.9,180.2
60.6,14.9,-2.9,4130,7.3,201.1
53.5,9.9,-5.6,4020,-9.6,176
63,15.9,1.7,3330,-32.6,216.2
73.1,12.4,1.1,3170,-2.9,261.5
58.1,14.2,1.9,6957,0.1,169.7
65.9,12.1,-0.9,2520,-24.7,239.5
58.4,14.3,0.1,5400,4,179.4
54.1,18.6,0.3,6670,0.2,152.9
34.2,24.5,16.5,7662,14.4,89.5
49.3,19.6,4.4,3800,9,156.8
71.3,10.9,-2.6,2664,10.5,263.5
60.5,17.4,5.4,3640,9.7,204.1
38.8,20.2,10.1,6076,20.2,99.6
52.2,17.3,14.8,3740,31.2,169.3
47.9,19.8,10,3041,25.6,162.3
70.4,11.5,0.9,2620,-2.1,259.6
58.6,0.3,-6.3,1670,-51.2,70.6
61.3,14.4,5.6,2970,-1.2,222.9
71.7,14.5,9.7,1718,-2.9,277.8
65.3,12.2,-1.3,3340,11.9,230
52.9,3.9,0.7,2150,4.4,149.2
51.1,18.8,0.2,7000,-1.5,147.4
38.4,17.3,-3.3,2830,-8.9,123
51.8,21.6,-1.4,4299,-10.1,163.3
58.3,10.7,4.9,3150,-0.5,205.6
70.9,15.2,0.3,2727,-0.2,259.2
44.1,35.6,3.4,7009,13.4,110.4
43.4,13.3,11.8,2470,42.4,132.7
53.4,8.3,-4,4621,21.4,161.7
62.9,20.3,2.2,4033,9.2,203
51.6,10.2,7.2,1530,31.1,167.2
43.3,3.4,-4.8,2110,-11.7,99.6
61,27.1,-2.9,6917,-10.7,156.5
43.8,12.4,2.4,2550,6.6,141.9
59.7,6.4,-6.7,2220,-31.1,189.2
68.3,19.9,3.2,3951,7.9,221.7
64.2,13.9,0,3020,-25.5,228.6
59.1,19.9,3.9,5270,27.7,179.3
59.5,15.9,-2.2,7491,12,170.7
52.6,6.5,-2.4,2760,-16.1,165.6
53.1,17.5,8.9,5992,18.1,159
59.2,14.7,3.9,5931,19.1,179.1
52.2,25.1,1.8,6530,7.7,146.5
47.1,10.9,-0.7,2380,-12.6,153.3
54,16.7,-2.6,5920,4.2,162.8
62.1,5.7,-2.2,1070,-6.8,197
50.9,10.9,-2.4,3800,-21.1,164.6
68.3,11,-4,2455,-3.3,254.4
62,11.8,3.8,2580,-9.5,221.5
39.7,18.3,7.9,3500,14.2,124.9
63.5,9.5,3.3,4341,-20.4,201.4
59.4,9.3,-0.8,2920,-7.7,204.9
63.1,10.7,-1.7,3820,10.1,212.5
17.5,25.7,-1.4,4497,-0.3,34.3
74.6,12.5,1.8,3640,13.5,257.4
63.6,16.1,0.4,3410,-15.6,222.9
60.9,14.5,-5.3,4208,0.9,200
65.3,13.6,5.2,2950,-2.4,239.1
60.1,16.1,0,4340,9.7,194.4
68.4,6.8,-2.8,2460,-29.9,229.7
54.1,8.8,-0.6,2870,-21.1,180.3
81,8.1,1.8,3549,-5.3,283.6
50.2,20.3,7.3,4480,4,160
26.6,7.3,-12.2,2290,-43.3,54.3
71.9,12.2,-0.8,2290,2.5,272.8
60.9,11.8,-3.7,3195,5.1,215.4
65.4,12.9,4.6,3135,-13.6,235.3
65.6,11.2,4,2581,9.6,240.5
43.5,20.7,2.4,3700,-10.5,140.1
72.8,16.3,-0.3,3360,-11.4,251.9
61.3,1.2,-0.1,2080,-7.7,151.3
67,10.7,-0.6,3176,-11.7,231.6
72.6,13.9,3.5,3283,9.2,252.1
66.2,14,1.5,3500,5.2,226.2
54.1,16.4,2,4220,0.9,172.4
55.3,5.2,8.2,1590,84.2,112.2
53.2,16.4,-1,1600,-5.7,198.8
68.4,12.7,0.7,2340,-3.2,260.3
51.2,13.6,-5.6,3110,-2.2,177.3
28,15,-7,3740,8.7,71.4
60.7,7.9,-0.1,4186,-19.2,191.2
58.4,14.1,1.2,2219,3.9,217.2
31.4,19.4,-1.4,1835,-6.8,93.5
78.2,10.8,1.3,2250,-3.3,298.9
60.4,9.6,-4.2,2400,-21,208.2
24.2,16.6,-1.1,2780,-12,58.9
43.5,27.8,-5.4,7600,-6.5,117.5
76.6,11.1,3.2,2550,-3.4,288.5
60.3,20,-4.1,5510,-13,181.4
46.4,15.4,12.5,2638,23.8,154.5
47.3,26.8,-1,6161,0,131.3
52.6,15.1,13.1,3300,27.2,175.9
70.1,11.4,1,2200,-6.8,266.5
58.9,15.8,-3.4,3670,12.1,202.7
67.1,13.6,0.8,2170,-23,241.2
67.1,15.8,1.3,3320,-4.3,238.2
74.9,14.8,-0.2,3470,-6.3,254.8
56.5,13.2,0.3,2587,-3.4,205
61.1,15.1,-1.6,5650,-0.5,185.9
66.4,13,3.5,2390,12.6,249.7
61.4,12.6,3,1640,-25.7,225.5
60.9,16,2,3036,-6.5,219.7
71.3,16.3,-0.1,3670,-6.2,240.4
53.5,18.7,-0.2,6570,2.1,151.6
55.7,12.1,3,2452,6.6,200.3
58.4,14.4,0.5,2738,4.3,210.3
52.6,14.8,-5.8,4140,-8.7,173.4
61.4,8.4,-1.3,1900,-7.2,216.7
50.4,3.1,6.8,4413,-29.6,89
68.5,12.7,3.1,4050,10.1,225.5
76.1,14.2,0.6,2978,6.9,271.2
58.6,18.9,6.9,3602,14.1,196.6
66.1,11.3,1.8,3349,5.4,227.7
57.7,7.7,0.9,2580,-9.3,198.3
67.1,13.2,-0.7,3901,-5.5,227.1
58.9,17,-1.7,2427,-11.5,219.4
68.5,14.7,6.2,4507,17.1,216.8
58.2,8,0.8,3270,-2.2,195.7
69.2,8.5,2.8,1970,-26.7,241
50.9,27.9,0.2,5235,5.2,146.4
67.3,10,0.3,1960,-1.1,252
46.8,12.5,1,5060,14.9,139.4
66.3,7.6,-1.3,1950,-35.2,221.4
59.3,16.8,6.4,2039,8.6,225.5
59.8,10.5,2.2,2724,-15.1,212.8
58.9,14.7,2,7171,18.8,161.7
64.2,13.7,3.4,3351,-2.3,221.4
59,14.8,-1.7,3587,10.9,203.2
65.9,1.4,-5.3,2110,5,167.1
