BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,CarryDistanceM
42.7,17.7,-1.9,3240,-14.4,119.1
52.5,5.5,-0.8,2610,-13.5,117.9
73.8,10.7,-1.7,3020,-1.6,250.2
59.9,15,1.1,3235,-5.1,194
69.7,13.8,4.3,3916,1.9,226.2
66.3,13.7,3.1,1688,9.6,224
72.3,14.2,-2.2,2480,-14,246
71.9,7.4,-0.7,1940,8.9,223
76.8,13.6,-2.7,3420,-3.2,253.3
61.1,14.2,-3.2,4326,-2.9,189.5
12.3,29.8,-0.4,3471,1.2,13.4
70.1,14.6,2.4,5936,14,203.3
67.7,6.6,-0.8,1720,-9.4,188.6
72.6,12.8,2,2310,-4.1,254.7
59.9,12.9,2.7,3210,3.3,194.2
73.4,13.1,-2.2,2710,-12.7,252.7
62.1,10.3,-6.4,2947,-31.2,183.4
67.8,12.1,3.7,2960,7.5,228.6
63.1,10.2,0.1,2470,-26.2,189.8
62.7,13.1,4.2,4300,-3.2,193.9
66.8,13.9,2.5,2715,-33.6,213.4
43.6,20.4,1.8,3810,-3.5,125.4
53.3,19.7,0.2,7340,-0.6,147.4
63.6,18.9,0.7,3680,0.2,205.9
69.9,19.3,2.9,3750,3,225.1
30.4,16.3,4.5,3238,4.5,60.9
9.6,54.7,-8.2,1940,0.2,8.4
50.3,5.1,-4.5,2580,-21.6,95.2
72.7,10.7,-1.1,3277,-3,244.7
55.5,15.3,0.9,2249,12.1,176.3
23.6,12.8,-0.2,2580,-6.4,29.7
60.6,13.4,1.2,2850,3.6,199.8
36.4,18,-6.2,5526,9,88.5
73.8,14.9,-0.3,2220,6.5,260.8
71.2,16.1,-0.4,2421,-9.8,245.1
62.4,12.7,-1.4,3310,-2.8,204.5
58.5,5.2,-7.1,4845,11.8,152.3
64.5,10.3,1.9,2470,-19.5,184.4
60.5,13.2,4.1,3090,-2.2,197.8
60.5,15.3,5,3340,-4.7,198.3
55.4,14.3,-11.1,3830,-12.4,168.9
44.1,26.3,3.6,7755,2,115.6
64.1,6,-9,3709,-14.5,191.5
66.1,7.7,-0.3,2020,-41.4,163.6
65.3,8.4,1.9,2050,-14.5,193.9
64.9,10.7,2.4,2300,-15.9,207.4
63.7,12.1,12.6,2540,15.8,207.7
61.7,4,-1.4,1530,-7.6,123.5
51.5,13.8,-2.6,3435,-10.9,154.1
55.6,5.9,-5.8,560,-17.9,93
72.3,11.5,4.3,3326,-7,240.3
31.1,35.6,-11.5,6080,-10.4,72.9
57.7,6.6,-7.2,2220,-8.3,146.5
57.9,7.1,-3.3,2050,-11.7,147.8
54.9,11,-7.1,4312,-24.5,156.6
66.6,17.8,3.3,2890,-1.8,229
68.4,13.2,5,3947,7.4,221.1
65.3,14.6,4.3,2840,-10.9,221.7
53.8,4.6,3.1,1720,-18.4,89
62.2,16.9,11.4,3150,15.9,206.1
56,1.7,-8.7,2320,1,76.8
58.8,15.2,2.5,4220,15.6,176.5
65.9,14.1,8.2,2424,-13.5,224.4
55.1,12.6,-0.3,3710,-5.7,169.3
44.3,26,1.9,6040,-5,121
56.4,11.4,3.6,3070,15.5,168.9
39.4,23.5,0.8,4610,-0.3,106.7
72,13.4,0.6,2504,-13.9,243.5
76.3,10.6,4.2,2752,4.5,263.6
42.9,23.8,4.1,5200,1.4,118.9
65.5,6,-4.4,2287,-14.3,161.7
59.2,14.1,2.1,2702,3.8,194.6
73.9,14.6,-0.3,2530,-10.8,257.1
51,12.7,0,3013,-7.5,140.9
67.7,8.8,-2.8,1680,-23,197.3
54.6,10.6,-3.3,4020,-32.1,149.2
55.8,11.8,10.5,4039,31,158.6
62.3,9.8,4.8,4473,-5.4,191.7
60.7,14.8,-3.9,5700,-2,177.7
71.6,14.3,0.6,2964,2.8,247.1
52.3,24.6,2.4,7980,6.6,140.9
51.4,20.8,0.1,4620,6,152.9
36.3,30.4,6.2,3425,5.1,97.9
13.3,28.2,-4.4,2930,-3.8,15.2
60.6,17.3,5.7,2340,-9,207
71.2,17,0.8,3790,10.5,230.7
64.1,14.1,-0.9,2695,-3.3,217.6
43.9,25.2,2.5,6250,-7.7,119.8
61.5,7.6,-0.4,2970,20.5,178.3
66.3,13.6,0.1,3907,-4.5,214.4
76.8,16.3,-1.6,3720,-0.8,245.5
50.8,11.1,4.7,2386,9.2,137.2
66.9,8.5,-0.1,1990,-19.5,199.3
66.7,14,2.7,2663,11.7,227.7
56.3,21.2,-0.8,4500,-9.9,170.4
62.3,13.9,-2.3,5210,0.1,186.3
74.2,10.6,6.2,2402,3.5,256.3
68.5,13.9,4.9,1450,-7.2,235
32.1,24.4,2.4,5125,11.1,76.4
40.1,15.5,6.2,6745,14.8,98.8
51.4,10.2,-6.1,3663,17.6,137.6
49,20.7,2.7,7847,0.9,132.3
49.5,7.8,-2.2,2620,-1.4,119.6
64.3,8.3,-0.9,1660,-27.5,171.6
31.2,30,-5.1,5090,1.1,74.9
71.1,8,-1.1,3722,-4.6,230.2
34.6,17,-4.3,1797,-21,75.9
59.8,13.2,-8.7,4240,-25.7,180.6
59.4,12.4,-3.4,6156,9.3,172.2
70.2,13.1,-2,2688,-7.4,240.9
52.4,9,-3.5,2890,-5.1,144.2
44,13.5,-1.5,2980,10.9,117
66.1,14,4.9,3843,11.2,213.7
64.8,14.1,5,2820,-8.2,213.9
58,9.1,5.1,3190,21.4,169
38.8,8.1,10.6,3410,53,54.7
45.3,28.2,-1.6,6520,4.8,121.9
56.8,17.1,11.7,3780,25.1,175.4
67.5,12.1,2.8,4009,-3.2,217.2
37.7,24,3.7,5120,-2.3,99.3
63.9,13.7,3.7,2229,-13.7,213.7
54.2,14.7,-0.2,4047,-9.5,165.7
33,23.5,-0.2,6040,0.3,78.7
69.4,10.8,-2.6,2476,-10.6,232.9
51.9,22.1,1.4,7683,-1,141.2
60.6,15.3,9.3,3470,10.1,196.6
49.8,11.1,1.1,2160,1.2,133.3
78.1,11.6,4.4,1770,-8.8,274.9
43.7,39.5,-1.9,8500,-7.8,101.5
51.9,22.2,6.1,5800,6.2,148.3
48.3,25.7,2.7,6790,1.7,132.2
77.2,16,4.2,3630,-3.9,251.4
57.7,14.3,-1.4,3550,7.8,183.5
56,13.4,4.2,5183,16.5,164.1
46.1,20.4,5,4320,-2.9,134.2
66.7,16.1,2.2,3057,0.7,227.2
56.3,18.1,-1.5,4030,13.6,175
60.3,17,4.2,4000,10.3,190.9
57,9.2,2.8,6392,3.4,161.4
44.5,25.1,3.8,6010,1,122.4
63,12.7,-2,1830,-15.1,202.6
71.9,12.7,0.9,2130,-7.4,250.5
32.1,27,4.2,3900,3.5,79.1
64.8,17.6,0.1,3220,-0.4,217.6
73.6,7.8,1.5,3091,9.7,242.9
59.9,20.2,0.9,4240,10.5,184
59.4,9,-3.5,4536,8.2,170.7
60.8,14.5,3.4,3600,9,195.9
65.7,12.6,0.6,2480,-9.4,221.3
69.1,15.2,-3.4,5039,-4.9,209.2
55,15.8,0.6,3180,-2.2,176.2
71.9,11,3,2187,5.4,246
65.3,17.1,3.3,4500,3.3,202.4
62.5,13.5,1.3,3536,-13.3,202
53.9,6.1,-5.4,1970,-23.9,108.6
38.7,22.1,8.4,5220,13.2,101.4
65.8,2,-0.1,1300,-21.8,92.6
52.3,5.1,3,2240,8.4,104.7
61.8,8.9,5.4,6763,17.7,173.6
58.9,14,-1.8,2955,-3.1,192.3
50,19.8,3.8,4130,-1.5,150.8
66.9,12.6,0.3,1992,-0.4,226.6
24.6,15.1,-28.5,6360,-32.7,35.1
54.8,16,4.3,4360,18.9,164.8
68.7,13.3,1,2640,-5,236.8
70.6,9.5,0.3,2830,-6.8,234.7
23.1,19.6,-11.3,9936,-25.9,36.5
30,23.1,-0.4,6160,2,66.7
65.9,14.4,1.7,3420,-1.7,219.2
73.8,18.6,0,3990,-8.6,230.7
67.9,11.6,2.2,2250,-4.4,229.2
61.1,1.1,-5.7,1820,-68.1,21.4
60.7,11.8,-3.7,4450,11.1,184
59.2,18.6,3.3,3960,-0.4,187.1
57.3,7,0.8,2530,0.7,155.2
46.7,36.4,-3.6,9220,-6.6,111.1
71.2,14.9,-0.1,2247,6,249.3
63.5,12.7,-2.7,5060,-2.2,191.7
59.9,7,0.9,1785,-16.4,147.6
48,22.9,4.9,4243,10.5,141.6
51.9,19.8,11.4,3290,14,163.1
70.8,11.2,3,1637,0.9,237.5
65.4,12.7,6.7,2600,1.4,221.5
63.7,7.3,-3.4,2000,-13.2,177.1
63.1,12.9,6.5,2680,7.7,210.1
60.5,16.1,8.6,1429,7.7,201.7
66.9,9.6,-2.5,1830,-24.6,199.8
43.5,7.5,0.5,2320,-9.3,84.9
25,9,1.6,6158,10.8,26.4
68.5,14.6,-1.7,2430,-9.5,232.7
65.7,13.7,-1.4,2720,11.1,222.7
51.4,10.6,-4.7,2620,-12.8,142.5
66.5,14,2.6,2716,-18.1,224.4
65.6,7.7,1.9,1830,-17.4,184.7
55.4,22.4,12,5094,22.1,160.3
48.6,10.4,-3.8,3737,-15.7,130.6
37.3,24.9,1.4,6960,-5.3,95.4
67,15.3,3.2,3150,6.6,227
59.8,9.5,-1.6,2390,2.6,176.1
74.7,17.6,2.4,3820,-7.3,238.1
56.9,15.9,8,4310,10.6,175.1
53.4,7.7,1.5,2210,-4.8,133.9
63.8,7.5,-4.4,2353,-8.5,188.5
64.2,11.6,3.4,2641,6.2,212.3
54.7,10.5,2.3,3490,12.4,162.3
47,14.6,2.1,2730,0.1,135.1
42.6,15.6,0.8,6020,12.5,110.6
68.7,10.4,6.6,2230,-5.2,224.8
42.1,23.9,2.9,7438,-1,112.1
73.4,14.6,-1.7,2617,5.3,255
57.4,13.6,-0.7,3420,-11.4,179.3
58.9,13.6,4.6,3150,1.3,191
64.6,11.6,-0.3,2360,-12.6,211.8
69.2,10.9,-0.1,3930,-0.1,222.3
48.5,18.7,-0.2,6332,3.8,135.2
76,10.4,-0.2,2481,-2.5,262.1
60.8,8.6,-1.2,3520,17.1,183.4
69.4,16.6,-1.4,4245,-6.1,218.7
67.2,10.3,-1.1,1450,-50.4,170.8
63.6,15,-0.2,3240,-14.2,210.5
76.4,13.4,3.6,2390,-7.6,271.1
61.6,14.2,6.5,3700,4.5,199.3
75.1,18.5,3,3406,-7.9,246.7
63.9,13.7,1.7,2411,-9.9,215.1
58.7,7.6,6.1,3078,10.6,163
40.6,20.4,-6,5988,1.9,107.9
52.5,5.7,-9.9,2940,-35.2,105
14.3,28.1,-0.8,4115,-0.7,17.7
64.1,13.1,6.1,4210,30.2,193.7
57.1,17,4.9,2860,-8.2,188.2
44.7,16.8,-3,3696,18.6,119.9
62.7,13.6,1.2,2620,-16.5,207.1
63,13,4.6,2810,-6.4,209.7
57.9,13.6,0.3,2090,-26.4,175.8
64.7,13.2,1.7,4320,5.4,200.3
63.5,13.1,-5.6,2400,-15.8,209.8
38.7,16.2,-6.6,3310,-1.3,98.6
71.9,16.4,2.4,2600,4.8,245.7
62.6,11.8,-0.4,3950,2.1,196
70,12.7,-2.2,2170,-0.8,242.6
67.6,13.2,7,2960,1.1,223.4
64.3,10,1.8,1980,-16.6,196.9
71.3,6.8,-2.9,2956,-4.8,230.7
61.2,13.3,4,4400,4.7,187.6
43.7,34.8,-2,8500,-2.5,107.7
52,2.4,-10.5,2103,-5.8,75.6
66.7,13.8,0,2430,-1.8,229.9
71.1,0.1,-6.4,3400,-69.6,6.2
57.9,8.5,9.8,2615,-38,143.9
57.4,18.4,3.4,5092,8.4,168.5
61.8,17.1,-0.5,6234,4.7,178.2
65.1,11.1,2.9,2160,-27,200.3
65.7,8.8,1.2,4148,16,203
71.9,13.6,-0.9,2651,-6.7,247.4
54.1,8.7,1.5,2571,-0.2,148.5
15.7,30.6,0.5,1631,0.5,21.9
54.7,19.4,-6.5,3940,-2.3,170.6
64.8,10.3,-0.4,1980,-1.8,205.3
72.3,10,-1,2280,-14.3,241.1
71.9,15.4,-2.4,2791,2,249.1
64.8,13.9,4,2770,-15,217.5
54.5,11.3,7.1,1291,10,145.2
59.1,14.9,5.3,3440,10,190.5
72,14,-4.2,3145,-2.9,246.1
45.6,24.7,0.7,7119,-7.1,123.3
67.2,12.2,3.4,2370,6.3,228.2
62,10,2.3,1814,7.2,185.2
65.8,10.8,4.2,2060,-5.4,213.6
68.5,13,4.4,3130,7.4,231.3
66,9.9,-1.3,1740,-21,199.1
75.4,11.5,-4.6,2530,-25.9,249.8
66.4,6.3,-2.9,1520,-19.3,167.7
53.7,17.5,3.2,3870,17.3,164.8
43.1,5.1,1.7,2020,3.9,62
54,22.7,-3.9,5940,-4.3,147.7
46.9,21.2,-3.9,6314,7.6,126.8
76.5,11.6,-0.5,3570,-7.9,249.8
54,5.9,-7.2,3010,-20,130.3
62.6,15.3,2.8,3400,1.7,206.6
29.2,40.2,-1.8,8010,-3.7,63.6
69.9,20.4,1.9,4020,-6.4,216.8
55.7,16.1,-2.3,3320,6.3,178.2
63.9,17.2,2.9,3008,-6,217
56.4,25.5,-0.7,7040,4.9,145.8
48.6,13.8,-2.2,3514,-4.6,136.5
51.6,9.1,-4.8,2550,-22.3,130.1
55,13.9,-4.8,3660,-15,169
33.7,13.7,3.4,1980,-4.1,65.7
73.8,11.2,-0.1,2780,-23.2,243.4
73.6,17.7,2.9,2364,-6.1,255.9
65.7,16,0.1,2870,2.6,223.9
68.9,4.9,-1.3,1590,-8.6,173.8
64.3,10.7,-1,2600,-24.3,200.7
44.7,24.1,1.1,8632,-0.7,117.4
72.7,16,3.4,2870,9.2,252.5
64.6,15.2,7.5,5344,18.6,189.1
57,19.2,-9.4,4250,-6.5,173.4
39.5,8.5,12.7,7401,64.5,58
66.1,12.1,2.3,2410,-2.8,222.6
32.1,20.9,-1.7,4150,-2,74.9
65.9,11,0,1720,-1.2,211.7
51.5,15.5,-3,5650,-4.8,147.1
41.7,26,0.8,6130,-4.3,112.4
61.8,8.9,4.3,3154,10.5,191.8
56.2,10.8,3.6,1929,12.4,159.4
65.1,16.3,4,3560,1.8,214.8
60.9,13.3,-2.6,2484,-13.9,198.1
56.7,4.7,-1.6,1640,-12.4,104.5
55.7,20.5,1.6,6504,0.8,156.1
51.1,9.9,-2.5,3080,15.3,140.1
61.1,1.5,-2.4,1410,-61.6,29.9
54.8,12.8,10.6,2739,7.1,169.4
44.6,23.9,0.9,5590,-5.7,124.1
74.9,21.8,4.1,4740,0.4,213.6
67.2,14.1,4.2,3810,5.7,218.6
55.8,18.9,3,4947,16.7,163.7
69,11.4,-0.8,1980,-8.7,230.7
46.5,14.4,-2,3276,7.5,126
66,9.6,0.5,1730,-7.1,202.7
60.2,16.1,1.7,3830,17.4,190.3
70.7,14.9,1.2,2238,-1.1,248.1
56.1,4.2,6,2858,11.8,127.9
56.2,20.1,-2.5,2020,3.5,191.9
77.5,13.6,1.6,2940,-10.1,266.4
65.4,11.6,1,3130,-13.1,214.7
57.4,12.2,-1,3940,-3.9,178.9
42.4,19.7,2,4620,13.4,114.5
66.2,15,2.1,2580,1.4,229
64.8,14.6,4.2,2798,-6,220.7
62,11.4,-1,4823,24,187
61.9,13.6,4.3,3080,-5.1,204.2
64.5,13.3,-0.4,2830,-24.2,209.7
57,14.8,-0.9,5360,1.2,167
56.6,4.7,4.9,3271,18.3,132.3
49.1,24.7,2.5,4522,-3.7,144
56.8,14.2,-4.1,3350,-28.7,168.6
56.3,13.5,-3.3,3010,9.6,178.3
64.9,12,4.1,2620,-0.8,217.4
67.2,12.2,1.7,2540,-15.3,224.8
53.1,14,3,3330,6.7,163.7
48.2,19.4,3.6,5283,-0.2,138.6
52.2,19.2,6.5,4380,14.9,156.9
55.7,2.9,-4.5,1890,-21.3,80.2
53.8,5.4,8,1530,65,63.2
11.7,35.5,-4.1,3030,-4,13
51,13.3,-2.5,3591,14.4,146.3
63.2,16.5,7.2,4850,10.1,189.4
60.6,9.3,-2.3,2715,8.8,172.3
46,15.6,4.1,1730,15.9,125.6
67.5,11.3,0.6,2607,11.2,225.4
65.9,12,7.5,2090,-38.3,196.1
46.6,8,-1.7,2450,-37.7,89.6
62.9,14,-11.4,5342,-17.8,187.2
64.3,11.1,-3.3,2700,9.5,209.7
65.2,10.9,2.9,2700,-3,215.4
60.3,18.9,0.6,3431,-12.3,196.6
72.4,13.8,5.7,3350,3.7,244.4
65.6,15.2,2.5,3281,8.7,219.2
61.4,17.7,-0.7,4340,-6.6,191
49.5,29.9,1.2,7369,8.1,129.5
12.2,36.3,-3.8,3140,-4.1,14.1
29.8,23.7,15.8,7482,23.4,64.4
68.6,13.8,1.9,3128,-4.8,232.7
58.7,12.6,9.9,6597,33.8,139.9
71.1,11.8,-3.6,2560,-2.8,242.6
50.1,10.8,-7,5575,20.3,131.5
59.9,7.4,6.1,2300,1.2,167
71.6,14.8,-1.7,2050,-15.3,250.9
41.2,22,1.5,5030,8.7,112.5
44.7,5.5,-1.6,2180,-17.8,71.5
30.1,20.6,-0.8,3530,-0.3,65.9
69.1,5.7,3,1320,-28.8,161.7
62.7,20,4.6,5980,2.1,177.4
65.4,7,1.7,2839,18.8,195.2
54.7,20.9,2.4,6654,2.5,152.7
40.7,19.7,13.1,4060,19.4,109.5
52,6.7,-4.3,2863,9.4,118.8
72.1,13,-0.3,1496,-13.9,247.2
62.5,11.4,5.4,2470,0.9,203.2
57.7,8.5,-10.7,2870,-23.8,160.1
55.7,21.2,-4.2,5457,1.5,156.2
57.5,10.8,-1.3,4050,-3.6,175.9
39.2,18.8,-6,3765,1.7,104.2
70.4,17.4,4.8,3590,-6.8,227.3
26.1,18.1,0.2,3060,-9.9,46.6
65,7.7,-2.8,3363,-4.6,205.3
66.7,17.7,3.6,3560,-4.9,219.5
65.9,9.8,0.3,2120,-31.5,193.1
56.9,9.2,-9.4,2970,-21.7,162.1
76,11.6,0.3,3290,-8.6,252.3
59.3,5.6,-5.8,1480,-13.7,124.2
61,14.8,0.7,2970,5.4,203
68.9,10.3,-4.8,4722,3.3,214
56.6,12.9,-3,3520,-10.3,176.3
74.5,14.2,0.6,3300,3.5,247.8
58.1,12.8,-1.7,4980,-3.1,172.7
60,18.1,9.8,4330,10.9,186.1
60.1,13.7,-5.5,3998,-5.4,190
62.5,10,1.2,1880,-15.4,185.9
61.6,5.7,-1.5,2650,-25,159.6
65.8,13.6,4.8,3726,-1.2,214.8
58.8,14.4,3.8,2420,5.4,193.3
67.3,11.1,-0.3,2280,-15,221.1
62.6,11.7,6.1,3157,2.1,204.2
71,9.7,-2.7,2060,-2.6,235.3
65,15.6,4.5,3370,-2.9,209.4
63.9,5.7,-2.3,1290,-21.3,141
51.3,2.9,-4.6,2330,-4.4,75.3
73.9,13.4,2.8,2760,-14.3,256
62.8,4.2,3.2,1340,-17.4,119.1
72.8,10.7,-0.6,2410,2,247.7
61.3,6.8,2.3,3147,-5.4,173.1
70.8,14,-2.8,3210,-14.3,236.8
64.2,3.9,-2.5,1610,-42.5,102.2
52.3,8.2,-8,2897,-21.8,132.9
70.1,10.1,-0.3,2000,-16.6,226.9
59.3,14.4,-0.1,5450,0.2,174
38.4,18.5,0.2,3880,-1.5,100
71.8,8.3,1,1960,-26,215.1
56.6,14.4,5.1,5022,6.4,169.5
71.1,11.4,0.5,2643,-5,243.7
63,6.7,-3,1250,-48.1,119.8
45.6,15.8,-0.9,3370,-2.7,131
49.4,11.3,5.2,1062,38.3,92.6
57.1,11.7,1.6,4120,8.5,174.3
43.1,29.2,-12.5,8570,-14.6,111.7
43.4,35.4,-10.6,5062,-14,110.9
53,18.5,-0.1,2820,8.4,171.1
50.8,5.6,-4.9,2680,-72,56.5
59.1,12.8,0.8,5815,10.2,162.7
59.2,13.5,-2.7,3580,2,186.7
64.4,11.8,0.6,2420,-39.6,185.4
59.2,19.1,2.7,3910,8,185.8
44.8,17.4,-1,3420,-0.8,129.9
64.7,15.8,3.5,3420,-6.9,214.3
58.6,14.5,-0.7,3190,10.8,189.2
71.1,11.6,-0.1,2775,8.2,242.7
63.2,10.1,-2.5,1930,-34.8,175.2
46.3,17.5,2.5,7760,15.4,101
55.3,17.4,4.8,4070,10.5,171.2
24.2,29.4,-0.2,8287,38.4,45.5
64.4,14,2,3020,-9.7,215.6
59.5,14.8,0.3,5941,11.4,163
49.1,23.7,5.7,4810,-2.2,142.8
58.9,17,0.4,4260,-5.5,182.1
51.5,8.2,-0.3,2840,-4.1,135.9
62.5,9.9,-0.6,1950,-20.7,183.2
57.6,10.6,-3.9,3290,-14.8,175.5
56.3,23.8,-1.2,6150,5.9,157.7
65.2,14.4,2.4,2619,1.3,223.5
62.1,11.1,2,2220,-15.9,194.1
40.8,14.4,0.3,3300,4.5,105
50.6,10.5,5.5,4650,5.1,141.7
36.2,20.2,2.5,3870,13,91.4
64,17.6,2.9,2750,4.9,216.8
75.7,18.8,2.6,3620,-2.8,243.1
44.8,27.1,-10.7,6035,-15.7,121.9
55.3,14.6,8.8,4890,16.4,159.3
38.2,7.5,3.9,6862,44.8,56.7
64.4,13.5,0.3,2900,-8,216.1
74.4,18.5,1.8,3670,-7.1,239
59.8,11.2,2.2,3970,-5.2,184.1
67.5,11.9,2.6,2530,11.3,227.4
60.7,10,0.5,2063,-11.6,181.3
26.7,2.2,13.9,4764,64.1,7
53.4,14.2,-0.8,1660,-8.3,158.9
64.8,8.2,-3.2,1847,-24.5,179
70.1,11.8,-0.3,2810,1.8,239.5
62.1,15,-0.5,3140,-11.3,205.6
65.9,21,-2.3,4230,-5.2,201.5
39.6,11.7,-1.4,2420,19.1,85.3
23.4,19,-2,9451,12.3,52.8
65.2,12.1,2.2,1625,-3.5,211.7
67.3,12.9,4.7,3350,-2,224.2
71,8.7,-1.4,2610,-14.1,230.9
66.1,13.6,2.6,2804,-1.3,225.4
57.2,22.5,-3.3,4400,6.9,173.4
60.6,14.9,-2.9,4130,7.3,189.4
53.5,9.9,-5.6,4020,-9.6,155
63,15.9,1.7,3330,-32.6,198.1
73.1,12.4,1.1,3170,-2.9,246.9
58.1,14.2,1.9,6957,0.1,164
65.9,12.1,-0.9,2520,-24.7,212.5
58.4,14.3,0.1,5400,4,171.2
54.1,18.6,0.3,6670,0.2,148.4
34.2,24.5,16.5,7662,14.4,82.4
49.3,19.6,4.4,3800,9,149.7
71.3,10.9,-2.6,2664,10.5,241.9
60.5,17.4,5.4,3640,9.7,192.5
38.8,20.2,10.1,6076,20.2,93.2
52.2,17.3,14.8,3740,31.2,153.4
47.9,19.8,10,3041,25.6,143.4
70.4,11.5,0.9,2620,-2.1,238.7
58.6,0.3,-6.3,1670,-51.2,8.4
61.3,14.4,5.6,2970,-1.2,204
71.7,14.5,9.7,1718,-2.9,252.3
65.3,12.2,-1.3,3340,11.9,212.9
52.9,3.9,0.7,2150,4.4,92.1
51.1,18.8,0.2,7000,-1.5,142
38.4,17.3,-3.3,2830,-8.9,98.9
51.8,21.6,-1.4,4299,-10.1,154
58.3,10.7,4.9,3150,-0.5,182.2
70.9,15.2,0.3,2727,-0.2,244.1
44.1,35.6,3.4,7009,13.4,110.2
43.4,13.3,11.8,2470,42.4,97.3
53.4,8.3,-4,4621,21.4,136.8
62.9,20.3,2.2,4033,9.2,195.8
51.6,10.2,7.2,1530,31.1,118.2
43.3,3.4,-4.8,2110,-11.7,47.5
61,27.1,-2.9,6917,-10.7,158.2
43.8,12.4,2.4,2550,6.6,111.5
59.7,6.4,-6.7,2220,-31.1,138
68.3,19.9,3.2,3951,7.9,216
64.2,13.9,0,3020,-25.5,207.6
59.1,19.9,3.9,5270,27.7,171.9
59.5,15.9,-2.2,7491,12,166.7
52.6,6.5,-2.4,2760,-16.1,127.5
53.1,17.5,8.9,5992,18.1,151.4
59.2,14.7,3.9,5931,19.1,171.3
52.2,25.1,1.8,6530,7.7,143.9
47.1,10.9,-0.7,2380,-12.6,119.6
54,16.7,-2.6,5920,4.2,155.1
62.1,5.7,-2.2,1070,-6.8,132.8
50.9,10.9,-2.4,3800,-21.1,140.9
68.3,11,-4,2455,-3.3,229.9
62,11.8,3.8,2580,-9.5,198.1
39.7,18.3,7.9,3500,14.2,105.6
63.5,9.5,3.3,4341,-20.4,192.1
59.4,9.3,-0.8,2920,-7.7,174.3
63.1,10.7,-1.7,3820,10.1,196.9
17.5,25.7,-1.4,4497,-0.3,24.8
74.6,12.5,1.8,3640,13.5,246
63.6,16.1,0.4,3410,-15.6,208.8
60.9,14.5,-5.3,4208,0.9,188.8
65.3,13.6,5.2,2950,-2.4,220.5
60.1,16.1,0,4340,9.7,184.3
68.4,6.8,-2.8,2460,-29.9,191.5
54.1,8.8,-0.6,2870,-21.1,145.5
81,8.1,1.8,3549,-5.3,269.3
50.2,20.3,7.3,4480,4,149.6
26.6,7.3,-12.2,2290,-43.3,21.8
71.9,12.2,-0.8,2290,2.5,250
60.9,11.8,-3.7,3195,5.1,196.5
65.4,12.9,4.6,3135,-13.6,216.8
65.6,11.2,4,2581,9.6,216.7
43.5,20.7,2.4,3700,-10.5,125.1
72.8,16.3,-0.3,3360,-11.4,241.9
61.3,1.2,-0.1,2080,-7.7,91.3
67,10.7,-0.6,3176,-11.7,220.1
72.6,13.9,3.5,3283,9.2,245.2
66.2,14,1.5,3500,5.2,219
54.1,16.4,2,4220,0.9,161.3
55.3,5.2,8.2,1590,84.2,48.5
53.2,16.4,-1,1600,-5.7,165.7
68.4,12.7,0.7,2340,-3.2,235.6
51.2,13.6,-5.6,3110,-2.2,154.6
28,15,-7,3740,8.7,48.7
60.7,7.9,-0.1,4186,-19.2,178.7
58.4,14.1,1.2,2219,3.9,189.5
31.4,19.4,-1.4,1835,-6.8,68.8
78.2,10.8,1.3,2250,-3.3,274.9
60.4,9.6,-4.2,2400,-21,176.4
24.2,16.6,-1.1,2780,-12,37.9
43.5,27.8,-5.4,7600,-6.5,114.7
76.6,11.1,3.2,2550,-3.4,267.6
60.3,20,-4.1,5510,-13,176.5
46.4,15.4,12.5,2638,23.8,129.4
47.3,26.8,-1,6161,0,127.6
52.6,15.1,13.1,3300,27.2,156.3
70.1,11.4,1,2200,-6.8,238.2
58.9,15.8,-3.4,3670,12.1,188.3
67.1,13.6,0.8,2170,-23,223.8
67.1,15.8,1.3,3320,-4.3,225.4
74.9,14.8,-0.2,3470,-6.3,245.5
56.5,13.2,0.3,2587,-3.4,179
61.1,15.1,-1.6,5650,-0.5,179.3
66.4,13,3.5,2390,12.6,224.6
61.4,12.6,3,1640,-25.7,185.5
60.9,16,2,3036,-6.5,202.7
71.3,16.3,-0.1,3670,-6.2,231.9
53.5,18.7,-0.2,6570,2.1,146.8
55.7,12.1,3,2452,6.6,170.7
58.4,14.4,0.5,2738,4.3,189.7
52.6,14.8,-5.8,4140,-8.7,158.5
61.4,8.4,-1.3,1900,-7.2,172.7
50.4,3.1,6.8,4413,-29.6,36.5
68.5,12.7,3.1,4050,10.1,219.7
76.1,14.2,0.6,2978,6.9,258.8
58.6,18.9,6.9,3602,14.1,185
66.1,11.3,1.8,3349,5.4,217.4
57.7,7.7,0.9,2580,-9.3,161
67.1,13.2,-0.7,3901,-5.5,215.4
58.9,17,-1.7,2427,-11.5,197.7
68.5,14.7,6.2,4507,17.1,212.6
58.2,8,0.8,3270,-2.2,171.8
69.2,8.5,2.8,1970,-26.7,203.1
50.9,27.9,0.2,5235,5.2,142.7
67.3,10,0.3,1960,-1.1,216.6
46.8,12.5,1,5060,14.9,123.8
66.3,7.6,-1.3,1950,-35.2,171.9
59.3,16.8,6.4,2039,8.6,200
59.8,10.5,2.2,2724,-15.1,184.1
58.9,14.7,2,7171,18.8,157
64.2,13.7,3.4,3351,-2.3,212.7
59,14.8,-1.7,3587,10.9,188.6
65.9,1.4,-5.3,2110,5,119.3
