BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,CarryDistanceM
63.8,6,0.6,1750,-1.5,162.9
55.6,17.1,-3,3760,6.3,175.4
51.1,18.3,1.5,2459,12.1,162
64.2,12.7,-0.9,3570,-9.1,208.5
70.9,14.1,2.8,3080,4.3,242.4
74.6,12,-0.5,2790,6.6,251.2
30.4,19.3,0,10470,20.8,76
57.3,16.9,-3,2960,-8.6,185.7
52.5,11,-2.9,2720,-14.3,149.8
42.8,16.1,3.1,3542,25.2,106.5
57.1,1.5,4.4,4447,27.7,109.8
53.4,18.3,4.3,4480,18.5,159.8
56.2,10.7,3.6,2242,-1.8,165.8
68.1,9.9,2.7,2330,-33.2,201.9
73.9,10.1,-2.2,3540,-1.1,241.5
71.4,12.3,0.9,2648,1.4,244.1
62.1,14.6,-6.1,2806,11.8,207.5
59.8,5.2,3.9,2110,64.8,81.3
57.8,8.8,-8.2,2500,-49.2,129.4
54.7,19.8,0.8,2523,-2,182.2
57.6,18.1,0.1,7514,14.6,160.3
64.8,15.8,0.6,4020,-13.5,206.4
63.2,10.2,-3.9,4459,16.6,196.7
70.8,14.8,-0.3,2402,-0.6,247.2
65.2,13.1,9.1,2510,-9,215.6
58.9,11.3,0.4,2455,4.7,184.2
54.9,9.9,-6.4,2300,-24.8,146.7
62.3,13.6,-2,5620,-1.7,183.4
67.2,12.4,-0.4,2090,-4.9,227.6
71.7,11.2,0.1,3270,13.3,239
57.8,18.4,12.7,4540,7.8,176.7
51.9,11.6,-0.3,5288,27.3,134.2
67.2,15.1,0,3472,-6.1,223.4
69.2,16.1,-2.6,4265,-11,217.9
60.9,14.1,2.8,4321,12.4,189.3
50.7,7.4,-5.6,3020,-29.4,115.7
58.1,12.1,-7.1,3440,-7.9,182.8
38.6,19.4,4.7,4980,0.3,99.7
54,10.6,-0.4,5261,12,154
67,10.6,-1,4290,1.4,211.9
55.4,14.7,2.2,2640,-3.1,177.4
61.8,14,-0.2,4491,12.8,191.2
40.1,35,-11.2,7840,-10.9,99.4
54.5,13.3,1.4,3986,1.9,166.2
55.6,2.6,-10.6,2490,-13.3,101.4
56.7,9.5,-6.6,2120,-6.7,159.7
61.8,17.2,-7.1,4480,-4.7,190
72,13.6,-0.2,2360,-9.9,246
17.8,24.8,6.1,4260,6.7,25.2
66.3,8.2,-3.8,1390,-23.1,179.5
74.5,13.9,-0.1,3790,-12.9,238.7
54,15.8,2.1,2223,-0.5,172.3
58.4,16.7,-0.8,3615,16.4,185.9
55.4,11.4,-7.3,4240,-13.9,164.6
60.5,8.5,-3.5,2010,-12.1,169.7
