BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,MaxHeightDistanceM
62.5,13.5,1.3,3536,-13.3,134.3
53.9,6.1,-5.4,1970,-23.9,61.4
38.7,22.1,8.4,5220,13.2,61.7
65.8,2,-0.1,1300,-21.8,53.1
52.3,5.1,3,2240,8.4,60.2
61.8,8.9,5.4,6763,17.7,119
58.9,14,-1.8,2955,-3.1,123.8
50,19.8,3.8,4130,-1.5,97.4
66.9,12.6,0.3,1992,-0.4,142.9
24.6,15.1,-28.5,6360,-32.7,18.7
54.8,16,4.3,4360,18.9,107.5
68.7,13.3,1,2640,-5,156
70.6,9.5,0.3,2830,-6.8,157.1
23.1,19.6,-11.3,9936,-25.9,19.7
30,23.1,-0.4,6160,2,39
65.9,14.4,1.7,3420,-1.7,148.3
73.8,18.6,0,3990,-8.6,165.4
67.9,11.6,2.2,2250,-4.4,146.7
61.1,1.1,-5.7,1820,-68.1,10.8
60.7,11.8,-3.7,4450,11.1,124.1
59.2,18.6,3.3,3960,-0.4,126
57.3,7,0.8,2530,0.7,95.5
46.7,36.4,-3.6,9220,-6.6,79.8
71.2,14.9,-0.1,2247,6,163.6
63.5,12.7,-2.7,5060,-2.2,132.4
59.9,7,0.9,1785,-16.4,86.6
48,22.9,4.9,4243,10.5,91.2
51.9,19.8,11.4,3290,14,103.9
70.8,11.2,3,1637,0.9,148.7
65.4,12.7,6.7,2600,1.4,143.6
63.7,7.3,-3.4,2000,-13.2,108
63.1,12.9,6.5,2680,7.7,135.6
60.5,16.1,8.6,1429,7.7,121.2
66.9,9.6,-2.5,1830,-24.6,121.9
43.5,7.5,0.5,2320,-9.3,47.7
25,9,1.6,6158,10.8,14
68.5,14.6,-1.7,2430,-9.5,153.4
65.7,13.7,-1.4,2720,11.1,145.4
51.4,10.6,-4.7,2620,-12.8,85.6
66.5,14,2.6,2716,-18.1,146
65.6,7.7,1.9,1830,-17.4,112.2
55.4,22.4,12,5094,22.1,107.2
48.6,10.4,-3.8,3737,-15.7,80.7
37.3,24.9,1.4,6960,-5.3,58.6
67,15.3,3.2,3150,6.6,152.6
59.8,9.5,-1.6,2390,2.6,109.2
74.7,17.6,2.4,3820,-7.3,170
56.9,15.9,8,4310,10.6,116.2
53.4,7.7,1.5,2210,-4.8,79.9
63.8,7.5,-4.4,2353,-8.5,118.4
64.2,11.6,3.4,2641,6.2,137.1
54.7,10.5,2.3,3490,12.4,103.6
47,14.6,2.1,2730,0.1,81.6
42.6,15.6,0.8,6020,12.5,68.4
68.7,10.4,6.6,2230,-5.2,145.8
42.1,23.9,2.9,7438,-1,71.1
73.4,14.6,-1.7,2617,5.3,172
57.4,13.6,-0.7,3420,-11.4,116.9
58.9,13.6,4.6,3150,1.3,123.9
64.6,11.6,-0.3,2360,-12.6,134.1
69.2,10.9,-0.1,3930,-0.1,154.3
48.5,18.7,-0.2,6332,3.8,88
76,10.4,-0.2,2481,-2.5,175.6
60.8,8.6,-1.2,3520,17.1,120.4
69.4,16.6,-1.4,4245,-6.1,154.1
67.2,10.3,-1.1,1450,-50.4,98.5
63.6,15,-0.2,3240,-14.2,139.3
76.4,13.4,3.6,2390,-7.6,181.4
61.6,14.2,6.5,3700,4.5,133.3
75.1,18.5,3,3406,-7.9,174.5
63.9,13.7,1.7,2411,-9.9,137.1
58.7,7.6,6.1,3078,10.6,102.8
40.6,20.4,-6,5988,1.9,66.6
52.5,5.7,-9.9,2940,-35.2,61.2
14.3,28.1,-0.8,4115,-0.7,9.4
64.1,13.1,6.1,4210,30.2,129.2
57.1,17,4.9,2860,-8.2,120.4
44.7,16.8,-3,3696,18.6,73
62.7,13.6,1.2,2620,-16.5,132.3
63,13,4.6,2810,-6.4,136.1
57.9,13.6,0.3,2090,-26.4,105.7
64.7,13.2,1.7,4320,5.4,138.1
63.5,13.1,-5.6,2400,-15.8,132.7
38.7,16.2,-6.6,3310,-1.3,57.7
71.9,16.4,2.4,2600,4.8,166.4
62.6,11.8,-0.4,3950,2.1,132.7
70,12.7,-2.2,2170,-0.8,156.4
67.6,13.2,7,2960,1.1,150.8
64.3,10,1.8,1980,-16.6,120.9
71.3,6.8,-2.9,2956,-4.8,155.8
61.2,13.3,4,4400,4.7,127.6
43.7,34.8,-2,8500,-2.5,74.1
52,2.4,-10.5,2103,-5.8,43.4
66.7,13.8,0,2430,-1.8,148.9
71.1,0.1,-6.4,3400,-69.6,3.1
57.9,8.5,9.8,2615,-38,85.5
57.4,18.4,3.4,5092,8.4,114.5
61.8,17.1,-0.5,6234,4.7,123.9
65.1,11.1,2.9,2160,-27,123.7
65.7,8.8,1.2,4148,16,133.7
71.9,13.6,-0.9,2651,-6.7,165.9
54.1,8.7,1.5,2571,-0.2,90.2
15.7,30.6,0.5,1631,0.5,11.8
54.7,19.4,-6.5,3940,-2.3,112.5
64.8,10.3,-0.4,1980,-1.8,127.4
72.3,10,-1,2280,-14.3,156.3
71.9,15.4,-2.4,2791,2,168.6
64.8,13.9,4,2770,-15,141.5
54.5,11.3,7.1,1291,10,82.8
59.1,14.9,5.3,3440,10,125.1
72,14,-4.2,3145,-2.9,168.5
45.6,24.7,0.7,7119,-7.1,80.4
67.2,12.2,3.4,2370,6.3,146.8
62,10,2.3,1814,7.2,112.1
65.8,10.8,4.2,2060,-5.4,133.8
68.5,13,4.4,3130,7.4,155.7
66,9.9,-1.3,1740,-21,120.9
75.4,11.5,-4.6,2530,-25.9,165
66.4,6.3,-2.9,1520,-19.3,99.7
53.7,17.5,3.2,3870,17.3,106.5
43.1,5.1,1.7,2020,3.9,33.6
54,22.7,-3.9,5940,-4.3,101.5
46.9,21.2,-3.9,6314,7.6,82.8
76.5,11.6,-0.5,3570,-7.9,175.9
54,5.9,-7.2,3010,-20,79.5
62.6,15.3,2.8,3400,1.7,138
29.2,40.2,-1.8,8010,-3.7,40.4
69.9,20.4,1.9,4020,-6.4,154.5
55.7,16.1,-2.3,3320,6.3,115
63.9,17.2,2.9,3008,-6,143.9
56.4,25.5,-0.7,7040,4.9,103.8
48.6,13.8,-2.2,3514,-4.6,83.5
51.6,9.1,-4.8,2550,-22.3,76.6
55,13.9,-4.8,3660,-15,108.8
33.7,13.7,3.4,1980,-4.1,35.5
73.8,11.2,-0.1,2780,-23.2,162.5
73.6,17.7,2.9,2364,-6.1,172.7
65.7,16,0.1,2870,2.6,148.9
68.9,4.9,-1.3,1590,-8.6,105.7
64.3,10.7,-1,2600,-24.3,126.8
44.7,24.1,1.1,8632,-0.7,76.5
72.7,16,3.4,2870,9.2,171.6
64.6,15.2,7.5,5344,18.6,131
57,19.2,-9.4,4250,-6.5,116.8
39.5,8.5,12.7,7401,64.5,33.4
66.1,12.1,2.3,2410,-2.8,143.1
32.1,20.9,-1.7,4150,-2,43
65.9,11,0,1720,-1.2,130.4
51.5,15.5,-3,5650,-4.8,96.5
41.7,26,0.8,6130,-4.3,71.4
61.8,8.9,4.3,3154,10.5,125.2
56.2,10.8,3.6,1929,12.4,94.4
65.1,16.3,4,3560,1.8,145.9
60.9,13.3,-2.6,2484,-13.9,124.8
56.7,4.7,-1.6,1640,-12.4,59.1
55.7,20.5,1.6,6504,0.8,106.7
51.1,9.9,-2.5,3080,15.3,85.7
61.1,1.5,-2.4,1410,-61.6,15.6
54.8,12.8,10.6,2739,7.1,105.3
44.6,23.9,0.9,5590,-5.7,79.6
74.9,21.8,4.1,4740,0.4,159.9
67.2,14.1,4.2,3810,5.7,150.1
55.8,18.9,3,4947,16.7,109.6
69,11.4,-0.8,1980,-8.7,145.9
46.5,14.4,-2,3276,7.5,76
66,9.6,0.5,1730,-7.1,124.5
60.2,16.1,1.7,3830,17.4,126.4
70.7,14.9,1.2,2238,-1.1,162.6
56.1,4.2,6,2858,11.8,80.2
56.2,20.1,-2.5,2020,3.5,118.6
77.5,13.6,1.6,2940,-10.1,183.7
65.4,11.6,1,3130,-13.1,142.2
57.4,12.2,-1,3940,-3.9,114.6
42.4,19.7,2,4620,13.4,71.3
66.2,15,2.1,2580,1.4,149.6
64.8,14.6,4.2,2798,-6,144.7
62,11.4,-1,4823,24,119
61.9,13.6,4.3,3080,-5.1,133.9
64.5,13.3,-0.4,2830,-24.2,135
57,14.8,-0.9,5360,1.2,113
56.6,4.7,4.9,3271,18.3,82.8
49.1,24.7,2.5,4522,-3.7,94.7
56.8,14.2,-4.1,3350,-28.7,108
56.3,13.5,-3.3,3010,9.6,113.2
64.9,12,4.1,2620,-0.8,140.6
67.2,12.2,1.7,2540,-15.3,145.3
53.1,14,3,3330,6.7,103.8
48.2,19.4,3.6,5283,-0.2,89.5
52.2,19.2,6.5,4380,14.9,102.1
55.7,2.9,-4.5,1890,-21.3,45.1
53.8,5.4,8,1530,65,33.2
11.7,35.5,-4.1,3030,-4,7
51,13.3,-2.5,3591,14.4,90.4
63.2,16.5,7.2,4850,10.1,131.1
60.6,9.3,-2.3,2715,8.8,105.3
46,15.6,4.1,1730,15.9,71.4
67.5,11.3,0.6,2607,11.2,146.7
65.9,12,7.5,2090,-38.3,119.2
46.6,8,-1.7,2450,-37.7,50.2
62.9,14,-11.4,5342,-17.8,128
64.3,11.1,-3.3,2700,9.5,135.9
65.2,10.9,2.9,2700,-3,140
60.3,18.9,0.6,3431,-12.3,130.6
72.4,13.8,5.7,3350,3.7,168.8
65.6,15.2,2.5,3281,8.7,147.3
61.4,17.7,-0.7,4340,-6.6,130.4
49.5,29.9,1.2,7369,8.1,89.3
12.2,36.3,-3.8,3140,-4.1,7.7
29.8,23.7,15.8,7482,23.4,37
68.6,13.8,1.9,3128,-4.8,157.1
58.7,12.6,9.9,6597,33.8,91.6
71.1,11.8,-3.6,2560,-2.8,161.3
50.1,10.8,-7,5575,20.3,82.3
59.9,7.4,6.1,2300,1.2,102.5
71.6,14.8,-1.7,2050,-15.3,161.7
41.2,22,1.5,5030,8.7,69.7
44.7,5.5,-1.6,2180,-17.8,39.4
30.1,20.6,-0.8,3530,-0.3,37.2
69.1,5.7,3,1320,-28.8,94.8
62.7,20,4.6,5980,2.1,125.5
65.4,7,1.7,2839,18.8,126.3
54.7,20.9,2.4,6654,2.5,104
40.7,19.7,13.1,4060,19.4,65.9
52,6.7,-4.3,2863,9.4,71.2
72.1,13,-0.3,1496,-13.9,154.7
62.5,11.4,5.4,2470,0.9,129.1
57.7,8.5,-10.7,2870,-23.8,99.3
55.7,21.2,-4.2,5457,1.5,107.4
57.5,10.8,-1.3,4050,-3.6,116.3
39.2,18.8,-6,3765,1.7,62.3
70.4,17.4,4.8,3590,-6.8,159
26.1,18.1,0.2,3060,-9.9,25.3
65,7.7,-2.8,3363,-4.6,137.7
66.7,17.7,3.6,3560,-4.9,150.7
65.9,9.8,0.3,2120,-31.5,117.9
56.9,9.2,-9.4,2970,-21.7,101
76,11.6,0.3,3290,-8.6,175.8
59.3,5.6,-5.8,1480,-13.7,71
61,14.8,0.7,2970,5.4,132.2
68.9,10.3,-4.8,4722,3.3,149.9
56.6,12.9,-3,3520,-10.3,114.3
74.5,14.2,0.6,3300,3.5,172.8
58.1,12.8,-1.7,4980,-3.1,116.5
60,18.1,9.8,4330,10.9,126.1
60.1,13.7,-5.5,3998,-5.4,127.2
62.5,10,1.2,1880,-15.4,112.8
61.6,5.7,-1.5,2650,-25,100.4
65.8,13.6,4.8,3726,-1.2,146.4
58.8,14.4,3.8,2420,5.4,121.1
67.3,11.1,-0.3,2280,-15,140.7
62.6,11.7,6.1,3157,2.1,134.6
71,9.7,-2.7,2060,-2.6,150.6
65,15.6,4.5,3370,-2.9,142.8
63.9,5.7,-2.3,1290,-21.3,81.2
51.3,2.9,-4.6,2330,-4.4,42.4
73.9,13.4,2.8,2760,-14.3,172
62.8,4.2,3.2,1340,-17.4,67.9
72.8,10.7,-0.6,2410,2,164
61.3,6.8,2.3,3147,-5.4,109.6
70.8,14,-2.8,3210,-14.3,161.1
64.2,3.9,-2.5,1610,-42.5,56.9
52.3,8.2,-8,2897,-21.8,80.3
70.1,10.1,-0.3,2000,-16.6,143.1
59.3,14.4,-0.1,5450,0.2,119.1
38.4,18.5,0.2,3880,-1.5,59.5
71.8,8.3,1,1960,-26,136.1
56.6,14.4,5.1,5022,6.4,113.2
71.1,11.4,0.5,2643,-5,161.7
63,6.7,-3,1250,-48.1,66.5
45.6,15.8,-0.9,3370,-2.7,80
49.4,11.3,5.2,1062,38.3,47
57.1,11.7,1.6,4120,8.5,115
43.1,29.2,-12.5,8570,-14.6,72.9
43.4,35.4,-10.6,5062,-14,75.7
53,18.5,-0.1,2820,8.4,107.7
50.8,5.6,-4.9,2680,-72,29.8
59.1,12.8,0.8,5815,10.2,111.6
59.2,13.5,-2.7,3580,2,123.6
64.4,11.8,0.6,2420,-39.6,114.8
59.2,19.1,2.7,3910,8,125.2
44.8,17.4,-1,3420,-0.8,79.4
64.7,15.8,3.5,3420,-6.9,144.6
58.6,14.5,-0.7,3190,10.8,122.7
71.1,11.6,-0.1,2775,8.2,162
63.2,10.1,-2.5,1930,-34.8,104.2
46.3,17.5,2.5,7760,15.4,74.7
55.3,17.4,4.8,4070,10.5,112.5
24.2,29.4,-0.2,8287,38.4,26.6
64.4,14,2,3020,-9.7,142.3
59.5,14.8,0.3,5941,11.4,114
49.1,23.7,5.7,4810,-2.2,93.9
58.9,17,0.4,4260,-5.5,122.8
51.5,8.2,-0.3,2840,-4.1,83.8
62.5,9.9,-0.6,1950,-20.7,111
57.6,10.6,-3.9,3290,-14.8,112.6
56.3,23.8,-1.2,6150,5.9,109.2
65.2,14.4,2.4,2619,1.3,145.5
62.1,11.1,2,2220,-15.9,120.1
40.8,14.4,0.3,3300,4.5,61.8
50.6,10.5,5.5,4650,5.1,91
36.2,20.2,2.5,3870,13,53.7
64,17.6,2.9,2750,4.9,143.5
75.7,18.8,2.6,3620,-2.8,174.2
44.8,27.1,-10.7,6035,-15.7,79
55.3,14.6,8.8,4890,16.4,105.9
38.2,7.5,3.9,6862,44.8,31.8
64.4,13.5,0.3,2900,-8,141.7
74.4,18.5,1.8,3670,-7.1,170.1
59.8,11.2,2.2,3970,-5.2,123.4
67.5,11.9,2.6,2530,11.3,147.5
60.7,10,0.5,2063,-11.6,110.5
26.7,2.2,13.9,4764,64.1,3.5
53.4,14.2,-0.8,1660,-8.3,92.9
64.8,8.2,-3.2,1847,-24.5,107.8
70.1,11.8,-0.3,2810,1.8,159.9
62.1,15,-0.5,3140,-11.3,135.1
65.9,21,-2.3,4230,-5.2,142.3
39.6,11.7,-1.4,2420,19.1,47.4
23.4,19,-2,9451,12.3,30.9
65.2,12.1,2.2,1625,-3.5,129.8
67.3,12.9,4.7,3350,-2,151.9
71,8.7,-1.4,2610,-14.1,152.2
66.1,13.6,2.6,2804,-1.3,148.3
57.2,22.5,-3.3,4400,6.9,118.1
60.6,14.9,-2.9,4130,7.3,127.8
53.5,9.9,-5.6,4020,-9.6,99.9
63,15.9,1.7,3330,-32.6,128.3
73.1,12.4,1.1,3170,-2.9,169.7
58.1,14.2,1.9,6957,0.1,111.7
65.9,12.1,-0.9,2520,-24.7,134.9
58.4,14.3,0.1,5400,4,116.5
54.1,18.6,0.3,6670,0.2,100.7
34.2,24.5,16.5,7662,14.4,49.3
49.3,19.6,4.4,3800,9,95.4
71.3,10.9,-2.6,2664,10.5,160.3
60.5,17.4,5.4,3640,9.7,129
38.8,20.2,10.1,6076,20.2,59.5
52.2,17.3,14.8,3740,31.2,96.2
47.9,19.8,10,3041,25.6,87.7
70.4,11.5,0.9,2620,-2.1,158.7
58.6,0.3,-6.3,1670,-51.2,4.5
61.3,14.4,5.6,2970,-1.2,133
71.7,14.5,9.7,1718,-2.9,161.1
65.3,12.2,-1.3,3340,11.9,142.6
52.9,3.9,0.7,2150,4.4,52.3
51.1,18.8,0.2,7000,-1.5,94.1
38.4,17.3,-3.3,2830,-8.9,57
51.8,21.6,-1.4,4299,-10.1,101.3
58.3,10.7,4.9,3150,-0.5,117.6
70.9,15.2,0.3,2727,-0.2,164.4
44.1,35.6,3.4,7009,13.4,75.6
43.4,13.3,11.8,2470,42.4,54.4
53.4,8.3,-4,4621,21.4,86.8
62.9,20.3,2.2,4033,9.2,135.1
51.6,10.2,7.2,1530,31.1,65.9
43.3,3.4,-4.8,2110,-11.7,25.4
61,27.1,-2.9,6917,-10.7,115.6
43.8,12.4,2.4,2550,6.6,64.8
59.7,6.4,-6.7,2220,-31.1,81.3
68.3,19.9,3.2,3951,7.9,151.9
64.2,13.9,0,3020,-25.5,134.7
59.1,19.9,3.9,5270,27.7,115.1
59.5,15.9,-2.2,7491,12,114
52.6,6.5,-2.4,2760,-16.1,77.7
53.1,17.5,8.9,5992,18.1,99.6
59.2,14.7,3.9,5931,19.1,115.5
52.2,25.1,1.8,6530,7.7,98.1
47.1,10.9,-0.7,2380,-12.6,70.1
54,16.7,-2.6,5920,4.2,103.5
62.1,5.7,-2.2,1070,-6.8,75.7
50.9,10.9,-2.4,3800,-21.1,88.1
68.3,11,-4,2455,-3.3,149.2
62,11.8,3.8,2580,-9.5,127.6
39.7,18.3,7.9,3500,14.2,62.5
63.5,9.5,3.3,4341,-20.4,129.8
59.4,9.3,-0.8,2920,-7.7,109.8
63.1,10.7,-1.7,3820,10.1,132.8
17.5,25.7,-1.4,4497,-0.3,13.3
74.6,12.5,1.8,3640,13.5,171.5
63.6,16.1,0.4,3410,-15.6,139.2
60.9,14.5,-5.3,4208,0.9,127.8
65.3,13.6,5.2,2950,-2.4,145.9
60.1,16.1,0,4340,9.7,124.6
68.4,6.8,-2.8,2460,-29.9,120.3
54.1,8.8,-0.6,2870,-21.1,88.9
81,8.1,1.8,3549,-5.3,191.3
50.2,20.3,7.3,4480,4,97.3
26.6,7.3,-12.2,2290,-43.3,11.3
71.9,12.2,-0.8,2290,2.5,163.3
60.9,11.8,-3.7,3195,5.1,128.6
65.4,12.9,4.6,3135,-13.6,143.6
65.6,11.2,4,2581,9.6,139.9
43.5,20.7,2.4,3700,-10.5,77.1
72.8,16.3,-0.3,3360,-11.4,167.8
61.3,1.2,-0.1,2080,-7.7,55.6
67,10.7,-0.6,3176,-11.7,147
72.6,13.9,3.5,3283,9.2,169.1
66.2,14,1.5,3500,5.2,148.5
54.1,16.4,2,4220,0.9,106.9
55.3,5.2,8.2,1590,84.2,25
53.2,16.4,-1,1600,-5.7,97.4
68.4,12.7,0.7,2340,-3.2,152.3
51.2,13.6,-5.6,3110,-2.2,96.2
28,15,-7,3740,8.7,26.6
60.7,7.9,-0.1,4186,-19.2,119.3
58.4,14.1,1.2,2219,3.9,117.1
31.4,19.4,-1.4,1835,-6.8,37.5
78.2,10.8,1.3,2250,-3.3,182.6
60.4,9.6,-4.2,2400,-21,110
24.2,16.6,-1.1,2780,-12,20.2
43.5,27.8,-5.4,7600,-6.5,74.9
76.6,11.1,3.2,2550,-3.4,179.8
60.3,20,-4.1,5510,-13,121.6
46.4,15.4,12.5,2638,23.8,76.2
47.3,26.8,-1,6161,0,85.3
52.6,15.1,13.1,3300,27.2,97.1
70.1,11.4,1,2200,-6.8,153.5
58.9,15.8,-3.4,3670,12.1,124.1
67.1,13.6,0.8,2170,-23,141
67.1,15.8,1.3,3320,-4.3,152.8
74.9,14.8,-0.2,3470,-6.3,172.4
56.5,13.2,0.3,2587,-3.4,111.8
61.1,15.1,-1.6,5650,-0.5,123.5
66.4,13,3.5,2390,12.6,144
61.4,12.6,3,1640,-25.7,110.5
60.9,16,2,3036,-6.5,132.7
71.3,16.3,-0.1,3670,-6.2,162.2
53.5,18.7,-0.2,6570,2.1,99.3
55.7,12.1,3,2452,6.6,104.8
58.4,14.4,0.5,2738,4.3,121.4
52.6,14.8,-5.8,4140,-8.7,102.4
61.4,8.4,-1.3,1900,-7.2,104.4
50.4,3.1,6.8,4413,-29.6,19.6
68.5,12.7,3.1,4050,10.1,151.8
76.1,14.2,0.6,2978,6.9,179
58.6,18.9,6.9,3602,14.1,122.8
66.1,11.3,1.8,3349,5.4,146.2
57.7,7.7,0.9,2580,-9.3,99.3
67.1,13.2,-0.7,3901,-5.5,148.4
58.9,17,-1.7,2427,-11.5,124.4
68.5,14.7,6.2,4507,17.1,147.6
58.2,8,0.8,3270,-2.2,112.7
69.2,8.5,2.8,1970,-26.7,127
50.9,27.9,0.2,5235,5.2,97.2
67.3,10,0.3,1960,-1.1,135.7
46.8,12.5,1,5060,14.9,78.5
66.3,7.6,-1.3,1950,-35.2,102.6
59.3,16.8,6.4,2039,8.6,123.7
59.8,10.5,2.2,2724,-15.1,116.2
58.9,14.7,2,7171,18.8,109.4
64.2,13.7,3.4,3351,-2.3,142.5
59,14.8,-1.7,3587,10.9,124.2
65.9,1.4,-5.3,2110,5,74.5
72.9,9.9,0.1,3099,7.5,167.5
63.1,11.5,-1.4,3670,16.6,133.3
56.3,8.5,-2.3,3821,-2.6,108.6
69.1,10.8,5.6,2440,-11.6,148.8
68.2,9.2,3.5,1900,-23.3,127.6
54.6,18.5,-4.8,5340,2.7,107.6
63.8,9.1,0.9,1660,-4.8,113.3
60.8,10.9,-7.7,3180,-10.4,125
56.7,15.4,0.6,2260,-8.3,113.4
54.5,15.5,9.8,2932,30.8,101.1
58.7,19,2.3,4170,1.9,123.7
73,12,-0.5,2090,-11.2,161.7
57.7,12.2,-4.1,3400,-9.1,117.6
66.9,15.2,4.5,2310,-12.2,149.4
69.1,7.7,2.4,1670,-23.6,118.7
67.4,7.3,2.7,4326,12.5,143.9
59,16.6,6.5,3160,-1.4,127.3
60.7,10.9,1.3,2150,15.2,113.7
49.6,15.5,0.9,3330,-7.5,93.3
62.7,14,3.8,2900,-2.5,137.2
72,15.3,0,2387,-4.4,166.1
66.4,11.7,2.7,3050,7.5,147.2
39.6,12.2,-9.4,2690,1.6,51.7
59,12.5,0.1,3840,-2.8,123.2
66.6,11.5,2,2380,0.9,143.7
61.3,13.1,3,2590,9,128.5
69,9.9,2.4,2050,-10.5,141.7
62.7,13.5,1.4,3550,11.2,134.1
11.6,34.6,-4.1,3030,-5.7,6.9
64.5,14.5,3.8,2017,-9.2,137.6
48.6,10.4,-9,5713,19.9,75
50,12.9,-3.1,3415,-1.5,86.5
56.8,18.4,1.6,3390,3.8,120.4
60.1,11.1,-4.8,3040,-0.6,123.9
76.2,12.6,2.5,2170,-13.5,175.8
51.6,9.5,-2.6,2695,4.8,78.8
64.3,11.5,-0.2,3150,2.3,139.9
62.8,10.8,1,4168,6.2,133.5
51.3,20.5,8.4,5260,22.5,95.8
53.2,7.2,-2.3,2790,-22.5,79.9
66.7,15.3,2.2,3920,4.6,148.6
53.7,11.5,-2.9,1962,-9,89.7
58.8,11.9,8.2,1790,17.3,104.7
59.8,16.2,3.5,2431,-18.2,124.7
64.4,15.7,1,2173,-8.1,141.3
65.4,15.3,3.2,2902,11,146.4
30.2,26.3,0.5,4390,4.6,41
73,13.8,0.9,2170,-8.5,167.1
61.1,12.5,7.8,3130,0.1,130.2
69.5,8.7,-0.1,1470,-25.5,121
72.4,18,1.8,3680,5.4,161
57.6,9.2,-2.6,3061,-4.4,110.6
72.6,13.5,-2.2,2883,12.9,166.7
61.5,12.1,7.8,2930,-2,130.4
69.8,10.9,-1,2310,-12.7,149.7
61.6,13,-2.1,3660,1.1,132.5
62.7,10.6,2.5,4003,11.5,132.4
58.3,8.3,3.6,2570,-5.9,106.2
66.7,13.5,0.2,2800,2.6,150.2
62.8,12.4,-1.6,2962,-13.1,133.7
73.6,14,-1.2,2840,-10.1,171.8
43.2,2.7,1.2,1720,43.2,14.2
72.6,17.4,0.4,3490,-3.4,167.2
56.5,7,-7,3752,8.4,104
69,14.4,7.1,3620,1.1,157.3
65.1,10,-1,1990,-10.2,126.5
71.8,13.3,3.2,2200,7.1,163.8
73.2,12,-0.7,3350,-3.2,168.1
56.6,13.9,-2.8,3895,-12.4,114.7
33.1,13.6,-2.5,3770,7.8,37.5
61.4,14.8,7.4,3030,7.5,133.3
67.6,14.6,0.4,3970,0.4,150.9
57,10.4,-5,4646,0.1,113.4
49.2,13.4,10.1,3620,23.4,85.2
64.8,8.2,2.4,2520,15.6,125.3
56.3,4.2,-1.5,1570,-9.9,53.3
57,21.1,-2.5,5380,-3.9,113.8
49.7,16.1,-4,2780,3.2,93.6
67.7,12.6,0.6,2267,-6.3,148.2
82.6,9.6,0.7,3540,-4.7,196.6
52.4,10.1,-10.6,2310,-40.8,69.9
51.3,22.9,1.8,5240,3.8,98.9
60.8,10.8,-3.1,2480,-30.1,108.8
62.9,8.5,-10.4,2770,-23.2,117.8
71.4,11.5,-0.9,2517,5.1,161
66.5,12,1.5,2900,-14.9,145.1
62.6,7.8,-5.4,2980,-9.5,124.8
28.4,14.9,1.4,1574,-1.6,20.6
59.5,14.4,-3.4,5320,-4.2,120.2
60.3,8.3,3,2410,-2.2,111.5
57.6,2.8,4.1,1270,-9,39.5
55,12.7,-6.1,3660,1.6,108.6
61.6,13.8,-4.2,2350,-9.8,128.6
57,13.2,-3.1,3418,-12.7,115.4
61.9,10.2,5.3,3284,-4.1,130.4
67.1,10.7,-4.2,2059,-4.2,138.8
61.2,14.3,0.1,2930,1.3,132.3
61.8,13.9,-3.5,5290,-3.3,126.6
57.2,13.1,-1.5,2110,-0.7,109.6
53.8,22.6,1.6,4810,11.3,106.4
53.2,6.6,-0.5,2690,-18.8,77.8
74.6,14.5,1.1,3120,-11.5,173
72.3,11.2,-1,1910,-4,158
52.1,19.7,0,6920,-0.9,96.9
62.3,20.1,0,4770,10.9,129.3
52.7,8.1,-3.3,2530,-4.1,81.9
48.6,14.9,0.8,2780,0.2,87.6
61.2,16.5,0.4,2743,-2.5,134.5
55.2,7.9,-0.1,2682,0.8,93.3
59.3,16.6,7,3088,14.2,126.3
58.5,18.6,1.8,3870,17.2,122.4
50.8,18.1,2.4,3760,-3.6,100
62.2,10.4,-3.1,4160,5,130.1
65.8,12.9,5.3,2320,2.7,142.8
65.4,7.1,1.8,1720,-11.9,108.5
67.3,9.1,1.7,2200,-11.4,134.3
64.5,13.1,6.3,2580,-5.2,140.5
34.4,15.8,-8.5,3270,-22.9,42.2
12.5,6.3,20.8,880,62.5,1.8
37.9,18,3,1986,-8.3,53.5
42.5,22.7,2,5270,-3.3,73.8
31.3,21,12.9,13470,0.6,18
54.2,7.2,4.5,4618,4.3,99.2
75.3,14.8,5.6,2770,-4.6,180.1
48,12.6,-2,2210,-16.3,75.1
58.2,14.3,4.1,4210,1.4,120.8
56.4,22.9,-2.5,4440,-3.6,115.1
74,17.8,0.2,3600,-6.3,170
50.7,14.7,-7.6,2850,1.4,95.1
31,26.5,-4.7,7035,5.3,42.6
44.8,7,3.6,1151,-8.3,37.1
67.3,11.8,4,1500,-30.3,123.7
72.1,8,1.3,2375,3.8,154.2
51.9,16.1,2.7,4340,-0.7,101
47.2,34.1,7,7518,5.7,83.1
64.4,6.6,-2.2,1820,-28,94.2
46.2,18.9,4.1,3160,0.5,84.9
58,15,-0.9,2440,-1.1,119.5
43.6,25.9,3,6130,-2.4,76.5
48.7,22.1,-4.8,5760,-17.5,89.1
54.2,12,-1.6,1100,-26.5,78.2
49.5,19.9,3.3,3580,-1.7,96.9
55.6,10.4,-2.3,3650,-6.8,108.3
65.5,11.3,-0.6,1710,-4.6,129.1
59.3,0.5,-3.4,1530,-46.1,7.4
25.6,16.2,1.8,1700,-9,21.3
51.7,12.9,2.9,3150,0.9,97
61.8,19,6.1,5180,22.4,123.7
66.4,15.5,0.7,4159,-0.7,146.8
65.2,12.2,-0.1,2680,-18.5,136.9
70.9,13.7,5,2560,19.3,159.1
71.9,12,0.9,1850,-28,146.5
50.7,17.7,-0.3,3580,7.9,99
72.5,14.5,4,2260,-16.4,164.9
